"","x"
"1200","genome conditioning"
"1201","genome conservation"
"1202","genome content"
"1203","genome evolution"
"1204","genome information"
"1205","genome map"
"1206","genome mapping"
"1207","genome organization"
"1208","genome project"
"1209","genome rearrangements"
"1210","genome scans"
"1211","genome sequence"
"1212","genome sequencing"
"1213","genome structure"
"1214","genome wide association  gwa"
"1215","genome wide association mapping"
"1216","genome wide association studies  gwas"
"1217","genome wide complex trait analysis  gcta"
"1218","genome wide error rate  gwer"
"1219","genome wide heterozygosity"
"1220","genome wide selection"
"1221","genome wide threshold"
"1222","genomic best linear unbiased prediction  gblup"
"1223","genomic conflicts"
"1224","genomic control"
"1225","genomic distribution"
"1226","genomic groups"
"1227","genomic imprinting"
"1228","genomic level"
"1229","genomic mutation"
"1230","genomic origin"
"1231","genomic prediction"
"1232","genomic relationship matrix  grm"
"1233","genomic selection"
"1234","genotype building strategies"
"1235","genotype calling"
"1236","genotype environment interactions"
"1237","genotype main effects"
"1238","genotype performance stability"
"1239","genotype probabilities"
"1240","genotype quality control"
"1241","genotype ranking"
"1242","genotype relative risks"
"1243","genotype representation"
"1244","genotype sampling in complex pedigrees"
"1245","genotype sampling scheme"
"1246","genotype selection"
"1247","genotype by environment"
"1248","genotype by environment interaction"
"1249","genotype by environment interaction  gei"
"1250","genotype by environment by management interaction"
"1251","genotype by year  gxy  interaction"
"1252","genotype by year by location  gxyxl  interaction"
"1253","genotype environment interaction"
"1254","genotype 96 environment interaction"
"1255","genotypic distributions"
"1256","genotypic frequency"
"1257","genotypic information"
"1258","genotypic modelling"
"1259","genotypic peeling"
"1260","genotypic reverse peeling"
"1261","genotypic selection"
"1262","genotypic value"
"1263","genotypic values"
"1264","genotypic variation"
"1265","genotyping"
"1266","genotyping errors"
"1267","genotyping method"
"1268","genotyping system"
"1269","genotyping systems"
"1270","germplasm"
"1271","germplasm banks"
"1272","germplasm barriers"
"1273","germplasm choice"
"1274","germplasm classification"
"1275","germplasm collection"
"1276","germplasm conservation"
"1277","germplasm development"
"1278","germplasm information"
"1279","germplasm management"
"1280","germplasm sources"
"1281","gge"
"1282","gge bi plot analysis"
"1283","ghost qtl"
"1284","gibberellic acid"
"1285","gibberellin analysis"
"1286","gibberellin biosynthesis"
"1287","gibberellin mutants"
"1288","gibberellin synthesis genes"
"1289","gibbs sampler"
"1290","gini impurity"
"1291","gini index"
"1292","glmm"
"1293","globular proteins"
"1294","glossy"
"1295","glutamate synthase"
"1296","glutamine synthase"
"1297","glutamine synthetase"
"1298","gluten"
"1299","gluten strh"
"1300","glutenin subunits"
"1301","glycine"
"1302","glycine betaine in osmotic adjustment"
"1303","glycine oxidation"
"1304","glycine spp"
"1305","glyphosate"
"1306","gradient boosting"
"1307","gradient descent"
"1308","gradients"
"1309","grain filling"
"1310","grain hardness"
"1311","grain protein concentration"
"1312","grain quality"
"1313","grain set"
"1314","grain sorghum"
"1315","grain yield"
"1316","grain yield components"
"1317","grain yield vs days to flower"
"1318","grain filling period"
"1319","greedy algorithm"
"1320","green fluorescent protein  gfp"
"1321","green leaf duration  gld"
"1322","green mites"
"1323","green peach aphid"
"1324","greenhouse nursery"
"1325","greenhouse trials"
"1326","growing season"
"1327","growth analysis"
"1328","growth cycle"
"1329","growth habit"
"1330","growth habits"
"1331","growth hormone"
"1332","growth maintenance"
"1333","growth maintenance under drought qtls"
"1334","growth parameters"
"1335","growth stage influence on response to stress"
"1336","growth related traits"
"1337","gwas"
"1338","gynogenesis"
"1339","gynogenetic haploids"
"1340","gynogenic haploids"
"1341","hadamard conjugation"
"1342","hadamard matrix"
"1343","hadamard product"
"1344","haldane  no interference  model"
"1345","haldane distance"
"1346","haldane map function"
"1347","haldane 92 s map function"
"1348","half mass selection"
"1349","half sib"
"1350","half sib family selection"
"1351","hamming distance"
"1352","hand pollination"
"1353","haploid"
"1354","haploid data"
"1355","haploid identification"
"1356","haploid plants"
"1357","haploid production"
"1358","haploid properties"
"1359","haploidization"
"1360","haploids"
"1361","haplotype"
"1362","haplotype analysis"
"1363","haplotype clustering technique"
"1364","haplotype evolution"
"1365","haplotype frequencies"
"1366","haplotypoups"
"1367","haplotype partition test"
"1368","haplotype relative risk"
"1369","haplotype score"
"1370","haplotype based analysis"
"1371","haplotype based haplotype relative risk"
"1372","haplotypes"
"1373","haplotypes differences"
"1374","haplotyping"
"1375","hard wheat quality"
"1376","hard thresholding"
"1377","hardy 96 weinbdisequilibrium"
"1378","hardy weinbequilibrium"
"1379","hardy weinbequilibrium  hwe"
"1380","hardy 96 weinbequilibrium  hwe"
"1381","hardy weinblaw"
"1382","hardy 96 weinbtest properties"
"1383","harvest index"
"1384","harvest index improvement"
"1385","hat matrix"
"1386","hays golden"
"1387","hazard regression model"
"1388","heat shock  hsf  family"
"1389","heat shock binding protein hsbp"
"1390","heat shock transcription factors"
"1391","heat stress"
"1392","heat tolerance"
"1393","heat tolerance effects"
"1394","heat tolerancnes"
"1395","heat shock"
"1396","helianthus spp"
"1397","helitron elements"
"1398","helitrons"
"1399","helix"
"1400","helminthosporium"
"1401","helminthosporium maydis"
"1402","hemicellulosic polysaccharides"
"1403","herbicide tolerancnes"
"1404","heredity"
"1405","heritabilities"
"1406","heritability"
"1407","heritability index"
"1408","heritable"
"1409","heritable clustering"
"1410","heritable epigenetic silencing"
"1411","hessian matrix"
"1412","heterochromatinization"
"1413","heterochronic mutants"
"1414","heteroscedasticity"
"1415","heterosis"
"1416","heterosis level"
"1417","heterosis associated markers"
"1418","heteroskedasticity"
"1419","heterotic"
"1420","heterotic alignments"
"1421","heterotic group construction"
"1422","heterotic groups"
"1423","heterotic patterns"
"1424","heterozygosity"
"1425","heterozygosity per se"
"1426","heterozygosity performance relation"
"1427","heterozygote excess"
"1428","heterozygous profile"
"1429","hexaploid"
"1430","hidden markov model  hmm"
"1431","high chlorophyll fluorescence  hcf"
"1432","high copy mutator lines"
"1433","high performance chromatography  hplc"
"1434","high throughput sequencing technology"
"1435","high aba qtl"
"1436","high aba qtl in maize"
"1437","high affinity transport system  chats"
"1438","high copy"
"1439","high copy families"
"1440","high density gene map"
"1441","high density molecular map"
"1442","high dimensional data"
"1443","high dimensional problems"
"1444","higher order interactions"
"1445","high resolution mapping"
"1446","high throughput mas"
"1447","high throughput phenotyping"
"1448","high throughput qrt pcr"
"1449","high throughput snp genotyping"
"1450","high throughput snp genotyping system"
"1451","hill 96 robertson effect"
"1452","hira protein"
"1453","histone modification"
"1454","histones"
"1455","hitchhiking effect"
"1456","hogue s yellow dent"
"1457","homoeologous chromosomes"
"1458","homogalacturonan  hga"
"1459","homogeneity standards"
"1460","homogeneous genetic backgrounds"
"1461","homologous genomic sequences"
"1462","homologous probes"
"1463","homologous proteins"
"1464","homologous recombination"
"1465","homologs finding"
"1466","homology modelling"
"1467","homology based gene prediction"
"1468","homoscedastic"
"1469","homozygosity"
"1470","homozygosity mapping"
"1471","homozygosity test"
"1472","homozygous"
"1473","homozygous diploids"
"1474","homozygous genotypes"
"1475","homozygous genotypes development"
"1476","homozygous profile"
"1477","hordein loci"
"1478","hordeins"
"1479","hordeum"
"1480","hordeum spontaneum"
"1481","hordeum spp"
"1482","hordeum vulgare"
"1483","host gene expression"
"1484","host plant genes"
"1485","hot spots"
"1486","house project data"
"1487","hulless"
"1488","human"
"1489","hybrid"
"1490","hybrid  d7  nitrogen interaction"
"1491","hybrid breakdown"
"1492","hybrid breeding"
"1493","hybrid corn"
"1494","hybrid dysgenesis"
"1495","hybrid embryo culture"
"1496","hybrid evaluation"
"1497","hybrid inviability"
"1498","hybrid performance"
"1499","hybrid prediction"
"1500","hybrid rice"
"1501","hybrid seed traits"
"1502","hybrid sterility"
"1503","hybrid type"
"1504","hybrid wheat production"
"1505","hybridisation"
"1506","hybridization"
"1507","hybridization technology"
"1508","hybrids"
"1509","hygromycin phosphotransferase  hpt"
"1510","hypersensitive response"
"1511","hyperspectral refl ectance"
"1512","hypothesis testing"
"1513","hypothetical pedigrees"
"1514","hypotonic solution"
"1515","identical by state  ibs"
"1516","identical in state  iis"
"1517","identity by descent  ibd"
"1518","identity by descent probabilities"
"1519","ideotype"
"1520","immature embryos"
"1521","immature zygotic embryo  ie  embryogenic"
"1522","immature zygotic embryos  ies"
"1523","imprinted gene"
"1524","imprinting"
"1525","imprinting regulation"
"1526","in silico evaluation"
"1527","in silico mapping"
"1528","in silico prediction"
"1529","in situ"
"1530","in situ hybridization"
"1531","inbred"
"1532","inbred backcross method"
"1533","inbred development methods"
"1534","inbred families"
"1535","inbred genotype"
"1536","inbred line crosses"
"1537","inbred line development"
"1538","inbred lines"
"1539","inbred populations"
"1540","inbred progeny selection"
"1541","inbred testers"
"1542","inbred hybrid"
"1543","inbred hybrid concept"
"1544","inbreds"
"1545","inbreeding"
"1546","inbreeding depression"
"1547","inbreeding depression estimates"
"1548","inbreeding populations"
"1549","incomplete block designs  icbd"
"1550","increased yield"
"1551","increasing gain"
"1552","increasing response to selection"
"1553","independent components analysis"
"1554","independent culling"
"1555","independent environments"
"1556","independent generation"
"1557","index selection"
"1558","indirect response"
"1559","indirect selection"
"1560","indirect selection drought resistance"
"1561","induction method"
"1562","infinitesimal model"
"1563","informative markers"
"1564","insect resistance"
"1565","insects resistance"
"1566","instant inbreds"
"1567","interpopulation recurrent selection"
"1568","interspecifi c crosses"
"1569","interval mapping"
"1570","intrapopulation selection"
"1571","intraspecific breeding"
"1572","intraspecific diversity"
"1573","intrinsic drought tolerance"
"1574","introgression library"
"1575","introgression line  il  libraries"
"1576","iodent"
"1577","iodent family"
"1578","iowa corn borer synthetic"
"1579","iowa ideal"
"1580","iowa long ear"
"1581","iowa stiff stalk synthetic"
"1582","iowa two ear synthetic"
"1583","johnson county white"
"1584","joint genotype probabilities"
"1585","joint posterior distribution"
"1586","joint probabilistic model"
"1587","joint probability distribution"
"1588","joint profile probabilities"
"1589","kanamycin"
"1590","kanamycin resistancne"
"1591","kernel development"
"1592","kernel methods"
"1593","kernel regression"
"1594","kernel trick"
"1595","kernels"
"1596","kne"
"1597","kinship coefficient"
"1598","knobs"
"1599","knobs meiotic drive"
"1600","knock out mutagenesis"
"1601","kruskal 96 wallis test"
"1602","kullback leibler distance"
"1603","kullback leibler information"
"1604","lancaster"
"1605","lancaster sure crop heterotic group"
"1606","lancaster sure crop variety"
"1607","lancaster surecrop"
"1608","landraces"
"1609","large effect qtl"
"1610","laser microdissection"
"1611","laser capture microdissection"
"1612","lasso"
"1613","late blight"
"1614","latent variables"
"1615","lateral spikelets"
"1616","ld based qtl mapping"
"1617","lea proteins"
"1618","leaf blight"
"1619","leaf characters"
"1620","leaf death"
"1621","leaf desiccation"
"1622","leaf diffusive resistance"
"1623","leaf electrolyte leakage under heat stress"
"1624","leaf emnce rate  ler"
"1625","leaf geometry"
"1626","leaf growth"
"1627","leaf mutants"
"1628","leaf number"
"1629","leaf relative water content"
"1630","leaf rolling"
"1631","leaf senescence"
"1632","leaf spot disease"
"1633","leaf temperature"
"1634","leaf temperature measurement"
"1635","leaf tissue"
"1636","leaf traits"
"1637","leaf water potential"
"1638","leaf water retention capacity  lwrc"
"1639","leaming"
"1640","leaming corn"
"1641","leptosphaeria maculans"
"1642","leptotene"
"1643","leptotene chromosome"
"1644","lethal dominants"
"1645","likelihood inferences"
"1646","likelihood methods"
"1647","likelihood profile"
"1648","likelihood ratio"
"1649","likelihood ratio test"
"1650","likelihood ratio test  lrt"
"1651","likelihood surfaces"
"1652","limagrain"
"1653","linear mixed model"
"1654","line cross analysis"
"1655","linkage analysis to detect qtls"
"1656","linkage association"
"1657","linkage detection"
"1658","linkage disequilibrium"
"1659","linkage disequilibrium  ld"
"1660","linkage disequilibrium  ld  mapping"
"1661","linkage drag"
"1662","linkage effect"
"1663","linkage effects"
"1664","linkage estimation"
"1665","linkagoups"
"1666","linkage map"
"1667","linkage mapping"
"1668","loadings"
"1669","location selection"
"1670","loci"
"1671","locus"
"1672","locus model"
"1673","lod score"
"1674","lodging"
"1675","lodging resistance"
"1676","log likelihood"
"1677","logistic regression"
"1678","long term selection"
"1679","loss function"
"1680","loss matrix"
"1681","low input breeding programme"
"1682","low nitrogen stress in maize"
"1683","low temperature tolerance"
"1684","magic populations"
"1685","mahalanobis distance"
"1686","maize borer"
"1687","maize breeding"
"1688","maize cell wall"
"1689","maize chromosome transmission"
"1690","maize cultivar development"
"1691","maize kernel phenotype"
"1692","maize lignin pathway"
"1693","major gene"
"1694","major genes"
"1695","major effect genes"
"1696","male sterility"
"1697","male sterility restoration"
"1698","malting quality"
"1699","managed stress environments"
"1700","managed stress trials"
"1701","marginal environments"
"1702","marker"
"1703","marker characterization"
"1704","marker data"
"1705","marker effects"
"1706","marker genes"
"1707","marker information"
"1708","marker loci"
"1709","marker polymorphisms"
"1710","marker scores"
"1711","marker selection"
"1712","marker selection cofactor"
"1713","marker typing"
"1714","marker assisted backcrossing  mabc"
"1715","marker assisted breeding  mab"
"1716","marker assisted breeding method"
"1717","marker assisted evaluation"
"1718","marker assisted gene pyramiding"
"1719","marker assisted germplasm evaluation"
"1720","marker assisted introgression  mai"
"1721","marker assisted plant breeding"
"1722","marker assisted recurrent"
"1723","marker assisted recurrent selection  mars"
"1724","marker assisted selection  mas"
"1725","marker 96 trait association"
"1726","marker trait associations"
"1727","mass selection"
"1728","mass selection response"
"1729","maternal effect"
"1730","maternal haploid induction"
"1731","mating designs"
"1732","mating patterns"
"1733","mating system"
"1734","mating system effects on"
"1735","mating systems"
"1736","mcqtl"
"1737","mean yield"
"1738","meligethes aenus"
"1739","met"
"1740","methylation"
"1741","methylation errors"
"1742","methylation filtration"
"1743","methylation microarrays"
"1744","methylation patterns"
"1745","microarray analysis"
"1746","microarray coating"
"1747","microarray data"
"1748","microarray data analysis"
"1749","microarray experiments"
"1750","microarray measurements"
"1751","microarray studies"
"1752","microarray technologies"
"1753","microfluidics"
"1754","micromalting"
"1755","microprojectile bombardment"
"1756","micropropagation"
"1757","microspore culture"
"1758","microspore embryogenesis"
"1759","microsporogenesis"
"1760","mid parent"
"1761","midge resistance"
"1762","mid parent heterosis  mph"
"1763","mid parent value"
"1764","mildew resistance"
"1765","mini core collections"
"1766","minor allele frequency  maf"
"1767","mirna genes"
"1768","mirna target prediction"
"1769","miscanthus spp"
"1770","missing heritability"
"1771","mixed linear model"
"1772","mixed model"
"1773","mixed model complex traits"
"1774","mixed model equations  mme"
"1775","mixed model formulation"
"1776","mixed model approach"
"1777","model comparison"
"1778","model selection"
"1779","modelling allele frequencies"
"1780","modelling stress"
"1781","modelling water availability"
"1782","modified ear to row"
"1783","modified living organisms"
"1784","modified pedigree method"
"1785","modified reciprocal recurrent"
"1786","moisture measurement"
"1787","molecular breeding"
"1788","monogenic"
"1789","monogenic hypersensitive resistance"
"1790","monogenic segregation"
"1791","monogenic trait"
"1792","monsanto"
"1793","mu transposons"
"1794","mudr"
"1795","mudr elements"
"1796","mule transposons"
"1797","multi"
"1798","multi environment trials  mets"
"1799","multi allelic loci"
"1800","multi allelic molecular data"
"1801","multidimensional scaling  mds"
"1802","multienvironment data"
"1803","multienvironment testing"
"1804","multi environment testing"
"1805","multienvironment trials"
"1806","multi environment trials  met"
"1807","multi environmental testing"
"1808","multienvironmental trials"
"1809","multilines"
"1810","multilocation trials"
"1811","multilocus analysis"
"1812","multiparent advanced generation intercross"
"1813","multiparent advanced generation intercross  magic"
"1814","multiple snp regression"
"1815","multiple testing"
"1816","multiple traits"
"1817","multi stage procedure"
"1818","multivariate breeders  equation"
"1819","multivariatne selection models"
"1820","mutagenic agents"
"1821","mutant libraries"
"1822","mutant phenotype"
"1823","mutant screening"
"1824","mutant seedlings"
"1825","mutation breeding"
"1826","mutator"
"1827","mutator element"
"1828","mutator system regulation"
"1829","mycosphaerella fijiensis"
"1830","mycotoxins"
"1831","nadaraya watson estimate"
"1832","nadaraya 96 watson estimator"
"1833","natural selection"
"1834","near infrared reflectance spectroscopy  nirs"
"1835","near isogenic lines  nils"
"1836","neutral markers"
"1837","nir instruments"
"1838","nir technology"
"1839","nirs technology"
"1840","nitrogen assimilation genes"
"1841","nitrogen uptaknes"
"1842","nitrogen use efficiency  nue"
"1843","nonadditive effects"
"1844","non additivne action"
"1845","non additive environment interaction"
"1846","non additivity"
"1847","non destructive measurement"
"1848","nondestructive screening"
"1849","normalised difference vegetation index"
"1850","normalised difference vegetation index  ndvi  measurement"
"1851","north carolina designs"
"1852","northern flints"
"1853","novartis seeds"
"1854","nuclear restorer genes"
"1855","nullisomic lines"
"1856","numerator relationship matrix  nrm"
"1857","numerical optimization"
"1858","nurseries"
"1859","nutritional quality"
"1860","off season nursery"
"1861","opaque  o  gene"
"1862","open pollination"
"1863","open pollinated"
"1864","open pollinated cultivars"
"1865","open pollinated varieties  opvs"
"1866","opposing homozygotes"
"1867","optical mapping"
"1868","optimal population size"
"1869","optimisation over several generations"
"1870","osmotic adjustment"
"1871","osmotic potential"
"1872","osmotic solute accumulation"
"1873","osmotic solutes"
"1874","osmotically active solutes"
"1875","outbred populations"
"1876","outcrossing"
"1877","outcrossing ability"
"1878","outliers"
"1879","ovary culture"
"1880","ovary culturnogenesis"
"1881","overdominance"
"1882","over dominance theory"
"1883","overfitting"
"1884","overlapping generations"
"1885","pachytene chromosomes"
"1886","panmictic populations"
"1887","panmictic midparent heterosis"
"1888","paralogous genes"
"1889","paralogous qtl"
"1890","paramutation"
"1891","paramutation model"
"1892","paraquat"
"1893","parent line development"
"1894","parent selection"
"1895","parental lines selection"
"1896","parental material"
"1897","parental selection"
"1898","parental types"
"1899","parent offspring"
"1900","parent offspring regression"
"1901","parent of origin effect"
"1902","partial chromosome substitution lines"
"1903","partial diallel"
"1904","particle bombardment"
"1905","partitioned heritability"
"1906","paternal haploid induction"
"1907","paulista dent"
"1908","pedigree"
"1909","pedigree analysis"
"1910","pedigree breeding"
"1911","pedigree breeding method"
"1912","pedigree disequilibrium test  pdt"
"1913","pedigree estimation"
"1914","pedigree ht"
"1915","pedigree information"
"1916","pedigree selection"
"1917","pedigree structures"
"1918","pedigree uncertainty"
"1919","pedigreed seed separation"
"1920","pedigrees"
"1921","peeling"
"1922","peeling algorithm"
"1923","peeling sequence"
"1924","penalized regression"
"1925","pentose phosphate pathway"
"1926","pericarp color gene  p"
"1927","permanent populations"
"1928","permanent wilting point"
"1929","phenotype characterisation"
"1930","phenotype development"
"1931","phenotype network"
"1932","phenotype association analysis"
"1933","phenotype based analysis"
"1934","phenotype expression association testing"
"1935","phenotypnotype relationship in protein evolution"
"1936","phenotypes"
"1937","phenotypic aggregation within families"
"1938","phenotypic characterizations"
"1939","phenotypic classification"
"1940","phenotypic covariance matrix"
"1941","phenotypic distribution"
"1942","phenotypic evolution models"
"1943","phenotypic information"
"1944","phenotypic plasticity"
"1945","phenotypic regressions"
"1946","phenotypic scoring methods"
"1947","phenotypic traits"
"1948","phenotypic value"
"1949","phenotypic variability"
"1950","phenotypic variance"
"1951","phenotyping"
"1952","phoma exigua"
"1953","phoma maculans"
"1954","phosphinothricin  ppt"
"1955","phosphinothricin acetyltransferase"
"1956","phosphinothricin acetyltransferase  pat"
"1957","phosphomannose isomerase  pmi"
"1958","phosphomannose isomerase  pmi  gene"
"1959","photoperiod"
"1960","photoperiod insensitivity"
"1961","photoperiod sensitivity"
"1962","photoperiod temperature"
"1963","photoperiod dependent qtl"
"1964","photoperiod independent qtl"
"1965","photoprotection related traits"
"1966","photorespiration"
"1967","photosynthetic capacity"
"1968","photosynthetic efficiency"
"1969","phthorimaea operculella"
"1970","physical map"
"1971","physical mapping"
"1972","physiological traits"
"1973","physoderma maydis"
"1974","phytochrome"
"1975","phytopthera infestans"
"1976","pioneer"
"1977","pioneer hi bred"
"1978","pioneer two ear synthetic"
"1979","plant tissue culture"
"1980","plant transformation"
"1981","plant water status"
"1982","plasticity"
"1983","pleiotropic"
"1984","pleiotropic effects"
"1985","pleiotropy"
"1986","pollen culture"
"1987","pollen cytogenetics"
"1988","pollen dispersal"
"1989","pollen isolation"
"1990","pollen killer"
"1991","pollen movement monitoring"
"1992","pollination"
"1993","pollinator lines"
"1994","pollinators"
"1995","polycrosses"
"1996","polycystic kidney disease"
"1997","polyethylenycol  peg"
"1998","polyethylenycol  peg  facilitated"
"1999","polygenic effects"
"2000","polymorphism information content  pic"
"2001","polyploidization"
"2002","polyploidy"
"2003","polytene chromosomes"
"2004","population admixture"
"2005","population association"
"2006","population bottlenecks"
"2007","population breeding"
"2008","population construction"
"2009","population crossover rate"
"2010","population distributions"
"2011","population frequency"
"2012","population genetic simulations"
"2013","population genetics"
"2014","population improvement"
"2015","population labels"
"2016","population level"
"2017","population parameters"
"2018","population recombination rate"
"2019","population size"
"2020","population strategies"
"2021","population stratification"
"2022","population stratification modelling"
"2023","population structure"
"2024","population subdivision"
"2025","population hybrid concept"
"2026","populations"
"2027","powdery mildew"
"2028","pre anthesis water"
"2029","prebreeding"
"2030","pre breeding"
"2031","precision phenotyping"
"2032","predicted gain"
"2033","predicted yield gain"
"2034","prediction accuracy"
"2035","preliminary yield trials  pyts"
"2036","progeny test"
"2037","protoplast fusion"
"2038","pseudo overdominance"
"2039","pure lines"
"2040","qgene"
"2041","qtl"
"2042","qtl   nitrogen interactions"
"2043","qtl alleles"
"2044","qtl analyses"
"2045","qtl cloning"
"2046","qtl effects"
"2047","qtl locations"
"2048","qtl main effects"
"2049","qtl mapping"
"2050","qtl mapping in"
"2051","qtl mapping study"
"2052","qtl maps"
"2053","qtl model"
"2054","qtl threshold"
"2055","qtl based selection"
"2056","qtl by environment interaction"
"2057","qtl by environment interactions"
"2058","qtl by genetic background interaction"
"2059","quadratic approximations"
"2060","quality control  qc"
"2061","quantitativnetics"
"2062","quantitative real time pcr  qrt pcr"
"2063","quantitative trait"
"2064","quantitative trait loci  qtl"
"2065","quantitative trait loci  qtls"
"2066","quantitative trait locus"
"2067","quantitative trait locus  qtl  mapping"
"2068","quantitative trait nucleotides  qtns"
"2069","quantitative traits"
"2070","quantitative traits inheritance"
"2071","qugene"
"2072","qu gene"
"2073","quline"
"2074","radiation use efficiency  rue"
"2075","random amplified polymorphic dna  rapd"
"2076","random breakage model"
"2077","random effects models"
"2078","random forest"
"2079","random mating"
"2080","randomised complete block designs  rcbd"
"2081","randomised controlled trials  rcts"
"2082","recalcitrant species"
"2083","recipient population"
"2084","reciprocal full sib"
"2085","reciprocal full sib selection"
"2086","reciprocal modified"
"2087","reciprocal recurrent"
"2088","reciprocal recurrent selection"
"2089","reciprocal translocation"
"2090","recombinant inbred line  ril"
"2091","recombinant inbred line  ril  populations"
"2092","recombinant inbred lines"
"2093","recombinant inbred lines  rils"
"2094","recombinant inbred lines progenies"
"2095","recombination events"
"2096","recombination fractions"
"2097","recombination frequencies"
"2098","recombination frequency"
"2099","recombination hotspots"
"2100","recombination models"
"2101","recombination rates"
"2102","recurrent parent  rp"
"2103","recurrent parent recovery"
"2104","recurrent selection"
"2105","recurrent selection  rs  line"
"2106","recurrent selection method"
"2107","reduced aba signalling"
"2108","reid yellow dent"
"2109","relative water content  rwc"
"2110","reproducing kernel hilbert space  rkhs"
"2111","resistancnes"
"2112","response to dehydration"
"2113","response to drought stress"
"2114","response to extended drought"
"2115","restorer of fertility  rf  alleles"
"2116","restriction fragment lh polymorphism  rflp"
"2117","retrospective indices"
"2118","ridge regression"
"2119","ril population"
"2120","ring chromosomes"
"2121","root"
"2122","root architecture"
"2123","root characters"
"2124","root lh"
"2125","root system"
"2126","root to shoot ratio"
"2127","root traits"
"2128","rooting ability"
"2129","rooting depth"
"2130","rootworms"
"2131","rulefit"
"2132","s family selection"
"2133","salinity resistance"
"2134","salinity stress"
"2135","salinity tolerance"
"2136","sample preparation"
"2137","sample preparation protocols"
"2138","sample size"
"2139","screening germplasm"
"2140","screening hybrids"
"2141","screening methods"
"2142","screening strategy"
"2143","secondary traits"
"2144","seed sorting"
"2145","segregation ratio"
"2146","selectable marker gene"
"2147","selectable marker genes"
"2148","selectable marker removal"
"2149","selection criteria"
"2150","selection differentials"
"2151","selection efficiency"
"2152","selection episodes"
"2153","selection experiments"
"2154","selection index"
"2155","selection index wts"
"2156","selection indices"
"2157","selection intensity"
"2158","selection limits"
"2159","selection measures"
"2160","selection method evaluation"
"2161","selection pressure"
"2162","selection pressures"
"2163","selection process"
"2164","selection response"
"2165","selection responses"
"2166","selection schemes"
"2167","selection strategies"
"2168","selection strategy"
"2169","selective advantage"
"2170","selfed progeny"
"2171","selfing"
"2172","selfing derived nils"
"2173","setaria italica"
"2174","setaria viridis"
"2175","shmm clustering"
"2176","shoot"
"2177","shoot apical meristem  sam"
"2178","shoot apex culture"
"2179","shoot apex tissue"
"2180","short duration cultivars"
"2181","short interspersed nuclear element  sine"
"2182","short tandem repeat  str"
"2183","short tandem repeat polymorphism  strp"
"2184","shotgun sequencing strategy"
"2185","shrinkage estimates"
"2186","shrinkage estimation"
"2187","shrinkage estimator"
"2188","shrinkage methods"
"2189","shukla 92 s stability variance"
"2190","shuttle breeding"
"2191","signalling genes"
"2192","simple interval mapping  sim"
"2193","simple sequence repeat  ssr"
"2194","simulated breeding"
"2195","single crosses"
"2196","single element insertion"
"2197","single nucleotide polymorphism  snp"
"2198","single seed descent  ssd"
"2199","single seed descent  ssd  method"
"2200","single cross hybrids"
"2201","sister chromatids"
"2202","sister mitotic cells"
"2203","sister chromatid transposition"
"2204","site directed mutagenesis"
"2205","site specific recombination"
"2206","site specific recombination system"
"2207","site specific recombination systems"
"2208","smith hazel index"
"2209","snp arrays"
"2210","snp map"
"2211","snp markers"
"2212","snp technology"
"2213","somaclonal variation"
"2214","source sink relationships"
"2215","southern dents"
"2216","southern leaf blight"
"2217","southern leaf blight  slb  disease"
"2218","spad chlorophyll measurement"
"2219","specific adaptation"
"2220","specific combining ability  sca"
"2221","spikelet"
"2222","spikelet fertility measurement"
"2223","spikelet sterility"
"2224","spikes selection"
"2225","stacking"
"2226","stalk rot"
"2227","starch biosynthesis"
"2228","stay green"
"2229","stay green qtls"
"2230","stay green trait"
"2231","stem reserve mobilisation"
"2232","stiff stalk"
"2233","stiff stalk synthetic"
"2234","stomatal behaviour"
"2235","stomatal conductance"
"2236","stress resistance"
"2237","subpopulations"
"2238","substitution lines"
"2239","sucros model"
"2240","sunflower"
"2241","superbinary"
"2242","superbinary vector"
"2243","support vector machine  svm"
"2244","syngenta"
"2245","synteny blocks"
"2246","synteny conservation"
"2247","synthetic polyploids"
"2248","synthetic varieties"
"2249","tabu search"
"2250","tag snps"
"2251","tandem duplication"
"2252","target population"
"2253","target population of environments  tpe"
"2254","target traits"
"2255","t cytoplasm"
"2256","temperature sensitivnic male sterility"
"2257","tensiometer"
"2258","teosinte"
"2259","teosinte hybrids"
"2260","terminal drought tolerance"
"2261","terminal stress tolerance"
"2262","test environment"
"2263","testcross"
"2264","testcross evaluation"
"2265","testcross evaluationgermplasm"
"2266","test crossing"
"2267","testcrossing traits"
"2268","tester line interaction"
"2269","testers"
"2270","testing in the tpe"
"2271","tetraploid microsporocytes"
"2272","tetraploidy"
"2273","thermal sensitivnic male sterility  tgms"
"2274","three way cross hybrids"
"2275","three ways"
"2276","ti plasmid"
"2277","tillering"
"2278","tilling"
"2279","tilling populations"
"2280","tissue culture"
"2281","tolerancnes"
"2282","tpe"
"2283","transformation"
"2284","transformation frequency  tf"
"2285","transformation method"
"2286","transformation system"
"2287","transformation technology"
"2288","transformation vector"
"2289","transformation mediated"
"2290","transformation mediated mutagenesis"
"2291","transforming information to new"
"2292","transgene"
"2293","transgene expression"
"2294","transgene integration"
"2295","transgene integration location"
"2296","transgenic"
"2297","transgenic breeding"
"2298","transgenic corn"
"2299","transgenic crop"
"2300","transgenic crop commercialization"
"2301","transgenic wheats"
