DB00001,Lepirudin,BiotechDrug,P00734,Prothrombin
DB00227,Lovastatin,SmallMoleculeDrug,P20701,Integrin alpha-L
DB00227,Lovastatin,SmallMoleculeDrug,Q92769,Histone deacetylase 2
DB00228,Enflurane,SmallMoleculeDrug,P14867,Gamma-aminobutyric acid receptor subunit alpha-1
DB00228,Enflurane,SmallMoleculeDrug,P47869,Gamma-aminobutyric acid receptor subunit alpha-2
DB00228,Enflurane,SmallMoleculeDrug,P34903,Gamma-aminobutyric acid receptor subunit alpha-3
DB00228,Enflurane,SmallMoleculeDrug,P48169,Gamma-aminobutyric acid receptor subunit alpha-4
DB00228,Enflurane,SmallMoleculeDrug,P31644,Gamma-aminobutyric acid receptor subunit alpha-5
DB00228,Enflurane,SmallMoleculeDrug,Q16445,Gamma-aminobutyric acid receptor subunit alpha-6
DB00228,Enflurane,SmallMoleculeDrug,P18505,Gamma-aminobutyric acid receptor subunit beta-1
DB00228,Enflurane,SmallMoleculeDrug,P47870,Gamma-aminobutyric acid receptor subunit beta-2
DB00228,Enflurane,SmallMoleculeDrug,P28472,Gamma-aminobutyric acid receptor subunit beta-3
DB00228,Enflurane,SmallMoleculeDrug,O14764,Gamma-aminobutyric acid receptor subunit delta
DB00228,Enflurane,SmallMoleculeDrug,P78334,Gamma-aminobutyric acid receptor subunit epsilon
DB00228,Enflurane,SmallMoleculeDrug,Q8N1C3,Gamma-aminobutyric acid receptor subunit gamma-1
DB00228,Enflurane,SmallMoleculeDrug,P18507,Gamma-aminobutyric acid receptor subunit gamma-2
DB00228,Enflurane,SmallMoleculeDrug,Q99928,Gamma-aminobutyric acid receptor subunit gamma-3
DB00228,Enflurane,SmallMoleculeDrug,O00591,Gamma-aminobutyric acid receptor subunit pi
DB00228,Enflurane,SmallMoleculeDrug,Q9UN88,Gamma-aminobutyric acid receptor subunit theta
DB00228,Enflurane,SmallMoleculeDrug,P23415,Glycine receptor subunit alpha-1
DB00228,Enflurane,SmallMoleculeDrug,P48167,Glycine receptor subunit beta
DB00228,Enflurane,SmallMoleculeDrug,O15554,Intermediate conductance calcium-activated potassium channel protein 4
DB00228,Enflurane,SmallMoleculeDrug,Q09470,Potassium voltage-gated channel subfamily A member 1
DB00228,Enflurane,SmallMoleculeDrug,P98194,Calcium-transporting ATPase type 2C member 1
DB00228,Enflurane,SmallMoleculeDrug,P42261,Glutamate receptor 1
DB00228,Enflurane,SmallMoleculeDrug,P30049,"ATP synthase subunit delta, mitochondrial"
DB00229,Cefotiam,SmallMoleculeDrug,Q8XJ01,Penicillin-binding protein 1A
DB00230,Pregabalin,SmallMoleculeDrug,O00555,Voltage-dependent P/Q-type calcium channel subunit alpha-1A
DB00231,Temazepam,SmallMoleculeDrug,P14867,Gamma-aminobutyric acid receptor subunit alpha-1
DB00231,Temazepam,SmallMoleculeDrug,P47869,Gamma-aminobutyric acid receptor subunit alpha-2
DB00231,Temazepam,SmallMoleculeDrug,P34903,Gamma-aminobutyric acid receptor subunit alpha-3
DB00231,Temazepam,SmallMoleculeDrug,P48169,Gamma-aminobutyric acid receptor subunit alpha-4
DB00231,Temazepam,SmallMoleculeDrug,P31644,Gamma-aminobutyric acid receptor subunit alpha-5
DB00231,Temazepam,SmallMoleculeDrug,Q16445,Gamma-aminobutyric acid receptor subunit alpha-6
DB00231,Temazepam,SmallMoleculeDrug,P18505,Gamma-aminobutyric acid receptor subunit beta-1
DB00231,Temazepam,SmallMoleculeDrug,P47870,Gamma-aminobutyric acid receptor subunit beta-2
DB00231,Temazepam,SmallMoleculeDrug,P28472,Gamma-aminobutyric acid receptor subunit beta-3
DB00231,Temazepam,SmallMoleculeDrug,Q8N1C3,Gamma-aminobutyric acid receptor subunit gamma-1
DB00231,Temazepam,SmallMoleculeDrug,P18507,Gamma-aminobutyric acid receptor subunit gamma-2
DB00231,Temazepam,SmallMoleculeDrug,Q99928,Gamma-aminobutyric acid receptor subunit gamma-3
DB00231,Temazepam,SmallMoleculeDrug,O14764,Gamma-aminobutyric acid receptor subunit delta
DB00231,Temazepam,SmallMoleculeDrug,P78334,Gamma-aminobutyric acid receptor subunit epsilon
DB00231,Temazepam,SmallMoleculeDrug,O00591,Gamma-aminobutyric acid receptor subunit pi
DB00231,Temazepam,SmallMoleculeDrug,P24046,Gamma-aminobutyric acid receptor subunit rho-1
DB00231,Temazepam,SmallMoleculeDrug,P28476,Gamma-aminobutyric acid receptor subunit rho-2
DB00231,Temazepam,SmallMoleculeDrug,A8MPY1,Gamma-aminobutyric acid receptor subunit rho-3
DB00231,Temazepam,SmallMoleculeDrug,Q9UN88,Gamma-aminobutyric acid receptor subunit theta
DB00231,Temazepam,SmallMoleculeDrug,P30536,Translocator protein
DB00231,Temazepam,SmallMoleculeDrug,P14867,Gamma-aminobutyric acid receptor subunit alpha-1
DB00231,Temazepam,SmallMoleculeDrug,P47869,Gamma-aminobutyric acid receptor subunit alpha-2
DB00231,Temazepam,SmallMoleculeDrug,P34903,Gamma-aminobutyric acid receptor subunit alpha-3
DB00231,Temazepam,SmallMoleculeDrug,P48169,Gamma-aminobutyric acid receptor subunit alpha-4
DB00231,Temazepam,SmallMoleculeDrug,P31644,Gamma-aminobutyric acid receptor subunit alpha-5
DB00231,Temazepam,SmallMoleculeDrug,Q16445,Gamma-aminobutyric acid receptor subunit alpha-6
DB00231,Temazepam,SmallMoleculeDrug,P18505,Gamma-aminobutyric acid receptor subunit beta-1
DB00231,Temazepam,SmallMoleculeDrug,P47870,Gamma-aminobutyric acid receptor subunit beta-2
DB00231,Temazepam,SmallMoleculeDrug,P28472,Gamma-aminobutyric acid receptor subunit beta-3
DB00231,Temazepam,SmallMoleculeDrug,O14764,Gamma-aminobutyric acid receptor subunit delta
DB00231,Temazepam,SmallMoleculeDrug,P78334,Gamma-aminobutyric acid receptor subunit epsilon
DB00231,Temazepam,SmallMoleculeDrug,Q8N1C3,Gamma-aminobutyric acid receptor subunit gamma-1
DB00231,Temazepam,SmallMoleculeDrug,P18507,Gamma-aminobutyric acid receptor subunit gamma-2
DB00231,Temazepam,SmallMoleculeDrug,Q99928,Gamma-aminobutyric acid receptor subunit gamma-3
DB00231,Temazepam,SmallMoleculeDrug,O00591,Gamma-aminobutyric acid receptor subunit pi
DB00231,Temazepam,SmallMoleculeDrug,Q9UN88,Gamma-aminobutyric acid receptor subunit theta
DB00232,Methyclothiazide,SmallMoleculeDrug,Q13621,Solute carrier family 12 member 1
DB00232,Methyclothiazide,SmallMoleculeDrug,P00915,Carbonic anhydrase 1
DB00232,Methyclothiazide,SmallMoleculeDrug,P00918,Carbonic anhydrase 2
DB00232,Methyclothiazide,SmallMoleculeDrug,P22748,Carbonic anhydrase 4
DB00233,Aminosalicylic Acid,SmallMoleculeDrug,P35354,Prostaglandin G/H synthase 2
DB00233,Aminosalicylic Acid,SmallMoleculeDrug,O15111,Inhibitor of nuclear factor kappa-B kinase subunit alpha
DB00233,Aminosalicylic Acid,SmallMoleculeDrug,P09917,Arachidonate 5-lipoxygenase
DB00233,Aminosalicylic Acid,SmallMoleculeDrug,Q9NZK7,Group IIE secretory phospholipase A2
DB00233,Aminosalicylic Acid,SmallMoleculeDrug,P64143,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
DB00234,Reboxetine,SmallMoleculeDrug,P23975,Sodium-dependent noradrenaline transporter
DB00235,Milrinone,SmallMoleculeDrug,Q14432,"cGMP-inhibited 3',5'-cyclic phosphodiesterase A"
DB00237,Butabarbital,SmallMoleculeDrug,P14867,Gamma-aminobutyric acid receptor subunit alpha-1
DB00237,Butabarbital,SmallMoleculeDrug,P47869,Gamma-aminobutyric acid receptor subunit alpha-2
DB00237,Butabarbital,SmallMoleculeDrug,P34903,Gamma-aminobutyric acid receptor subunit alpha-3
DB00237,Butabarbital,SmallMoleculeDrug,P48169,Gamma-aminobutyric acid receptor subunit alpha-4
DB00237,Butabarbital,SmallMoleculeDrug,P31644,Gamma-aminobutyric acid receptor subunit alpha-5
DB00237,Butabarbital,SmallMoleculeDrug,Q16445,Gamma-aminobutyric acid receptor subunit alpha-6
DB00237,Butabarbital,SmallMoleculeDrug,P18505,Gamma-aminobutyric acid receptor subunit beta-1
DB00237,Butabarbital,SmallMoleculeDrug,P47870,Gamma-aminobutyric acid receptor subunit beta-2
DB00237,Butabarbital,SmallMoleculeDrug,P28472,Gamma-aminobutyric acid receptor subunit beta-3
DB00237,Butabarbital,SmallMoleculeDrug,O14764,Gamma-aminobutyric acid receptor subunit delta
DB00237,Butabarbital,SmallMoleculeDrug,P78334,Gamma-aminobutyric acid receptor subunit epsilon
DB00237,Butabarbital,SmallMoleculeDrug,Q8N1C3,Gamma-aminobutyric acid receptor subunit gamma-1
DB00237,Butabarbital,SmallMoleculeDrug,P18507,Gamma-aminobutyric acid receptor subunit gamma-2
DB00237,Butabarbital,SmallMoleculeDrug,Q99928,Gamma-aminobutyric acid receptor subunit gamma-3
DB00237,Butabarbital,SmallMoleculeDrug,O00591,Gamma-aminobutyric acid receptor subunit pi
DB00237,Butabarbital,SmallMoleculeDrug,Q9UN88,Gamma-aminobutyric acid receptor subunit theta
DB00237,Butabarbital,SmallMoleculeDrug,P43681,Neuronal acetylcholine receptor subunit alpha-4
DB00237,Butabarbital,SmallMoleculeDrug,P36544,Neuronal acetylcholine receptor subunit alpha-7
DB00237,Butabarbital,SmallMoleculeDrug,P42262,Glutamate receptor 2
DB00237,Butabarbital,SmallMoleculeDrug,Q13002,"Glutamate receptor ionotropic, kainate 2"
DB00238,Nevirapine,SmallMoleculeDrug,Q72547,Reverse transcriptase/RNaseH
DB00239,Oxiconazole,SmallMoleculeDrug,P10613,Lanosterol 14-alpha demethylase
DB00239,Oxiconazole,SmallMoleculeDrug,Q04782,Lanosterol synthase
DB00240,Alclometasone,SmallMoleculeDrug,P04150,Glucocorticoid receptor
DB00241,Butalbital,SmallMoleculeDrug,P14867,Gamma-aminobutyric acid receptor subunit alpha-1
DB00241,Butalbital,SmallMoleculeDrug,P47869,Gamma-aminobutyric acid receptor subunit alpha-2
DB00241,Butalbital,SmallMoleculeDrug,P34903,Gamma-aminobutyric acid receptor subunit alpha-3
DB00241,Butalbital,SmallMoleculeDrug,P48169,Gamma-aminobutyric acid receptor subunit alpha-4
DB00241,Butalbital,SmallMoleculeDrug,P31644,Gamma-aminobutyric acid receptor subunit alpha-5
DB00241,Butalbital,SmallMoleculeDrug,Q16445,Gamma-aminobutyric acid receptor subunit alpha-6
DB00241,Butalbital,SmallMoleculeDrug,P43681,Neuronal acetylcholine receptor subunit alpha-4
DB00241,Butalbital,SmallMoleculeDrug,P36544,Neuronal acetylcholine receptor subunit alpha-7
DB00241,Butalbital,SmallMoleculeDrug,P42262,Glutamate receptor 2
DB00241,Butalbital,SmallMoleculeDrug,Q13002,"Glutamate receptor ionotropic, kainate 2"
DB00241,Butalbital,SmallMoleculeDrug,P14867,Gamma-aminobutyric acid receptor subunit alpha-1
DB00241,Butalbital,SmallMoleculeDrug,P47869,Gamma-aminobutyric acid receptor subunit alpha-2
DB00241,Butalbital,SmallMoleculeDrug,P34903,Gamma-aminobutyric acid receptor subunit alpha-3
DB00241,Butalbital,SmallMoleculeDrug,P48169,Gamma-aminobutyric acid receptor subunit alpha-4
DB00241,Butalbital,SmallMoleculeDrug,P31644,Gamma-aminobutyric acid receptor subunit alpha-5
DB00241,Butalbital,SmallMoleculeDrug,Q16445,Gamma-aminobutyric acid receptor subunit alpha-6
DB00241,Butalbital,SmallMoleculeDrug,P18505,Gamma-aminobutyric acid receptor subunit beta-1
DB00241,Butalbital,SmallMoleculeDrug,P47870,Gamma-aminobutyric acid receptor subunit beta-2
DB00241,Butalbital,SmallMoleculeDrug,P28472,Gamma-aminobutyric acid receptor subunit beta-3
DB00241,Butalbital,SmallMoleculeDrug,O14764,Gamma-aminobutyric acid receptor subunit delta
DB00241,Butalbital,SmallMoleculeDrug,P78334,Gamma-aminobutyric acid receptor subunit epsilon
DB00241,Butalbital,SmallMoleculeDrug,Q8N1C3,Gamma-aminobutyric acid receptor subunit gamma-1
DB00241,Butalbital,SmallMoleculeDrug,P18507,Gamma-aminobutyric acid receptor subunit gamma-2
DB00241,Butalbital,SmallMoleculeDrug,Q99928,Gamma-aminobutyric acid receptor subunit gamma-3
DB00241,Butalbital,SmallMoleculeDrug,O00591,Gamma-aminobutyric acid receptor subunit pi
DB00241,Butalbital,SmallMoleculeDrug,Q9UN88,Gamma-aminobutyric acid receptor subunit theta
DB00242,Cladribine,SmallMoleculeDrug,P23921,Ribonucleoside-diphosphate reductase large subunit
DB00242,Cladribine,SmallMoleculeDrug,P31350,Ribonucleoside-diphosphate reductase subunit M2
DB00242,Cladribine,SmallMoleculeDrug,Q7LG56,Ribonucleoside-diphosphate reductase subunit M2 B
DB00242,Cladribine,SmallMoleculeDrug,P09884,DNA polymerase alpha catalytic subunit
DB00242,Cladribine,SmallMoleculeDrug,Q07864,DNA polymerase epsilon catalytic subunit A
DB00242,Cladribine,SmallMoleculeDrug,P56282,DNA polymerase epsilon subunit 2
DB00242,Cladribine,SmallMoleculeDrug,Q9NRF9,DNA polymerase epsilon subunit 3
DB00242,Cladribine,SmallMoleculeDrug,Q9NR33,DNA polymerase epsilon subunit 4
DB00242,Cladribine,SmallMoleculeDrug,P00491,Purine nucleoside phosphorylase
DB00243,Ranolazine,SmallMoleculeDrug,Q14524,Sodium channel protein type 5 subunit alpha
DB00243,Ranolazine,SmallMoleculeDrug,Q15858,Sodium channel protein type 9 subunit alpha
DB00244,Mesalazine,SmallMoleculeDrug,P35354,Prostaglandin G/H synthase 2
DB00244,Mesalazine,SmallMoleculeDrug,P23219,Prostaglandin G/H synthase 1
DB00244,Mesalazine,SmallMoleculeDrug,P09917,Arachidonate 5-lipoxygenase
DB00244,Mesalazine,SmallMoleculeDrug,P37231,Peroxisome proliferator-activated receptor gamma
DB00244,Mesalazine,SmallMoleculeDrug,O15111,Inhibitor of nuclear factor kappa-B kinase subunit alpha
DB00244,Mesalazine,SmallMoleculeDrug,O14920,Inhibitor of nuclear factor kappa-B kinase subunit beta
DB00244,Mesalazine,SmallMoleculeDrug,P05164,Myeloperoxidase
DB00244,Mesalazine,SmallMoleculeDrug,P0A5L8,Arylamine N-acetyltransferase
DB00245,Benzatropine,SmallMoleculeDrug,P11229,Muscarinic acetylcholine receptor M1
DB00245,Benzatropine,SmallMoleculeDrug,Q01959,Sodium-dependent dopamine transporter
DB00245,Benzatropine,SmallMoleculeDrug,P35367,Histamine H1 receptor
DB00246,Ziprasidone,SmallMoleculeDrug,P14416,D(2) dopamine receptor
DB00246,Ziprasidone,SmallMoleculeDrug,P28223,5-hydroxytryptamine receptor 2A
DB00246,Ziprasidone,SmallMoleculeDrug,P21728,D(1A) dopamine receptor
DB00246,Ziprasidone,SmallMoleculeDrug,P21918,D(1B) dopamine receptor
DB00246,Ziprasidone,SmallMoleculeDrug,P35462,D(3) dopamine receptor
DB00246,Ziprasidone,SmallMoleculeDrug,P21917,D(4) dopamine receptor
DB00246,Ziprasidone,SmallMoleculeDrug,P08908,5-hydroxytryptamine receptor 1A
DB00246,Ziprasidone,SmallMoleculeDrug,P28222,5-hydroxytryptamine receptor 1B
DB00246,Ziprasidone,SmallMoleculeDrug,P28221,5-hydroxytryptamine receptor 1D
DB00246,Ziprasidone,SmallMoleculeDrug,P28566,5-hydroxytryptamine receptor 1E
DB00246,Ziprasidone,SmallMoleculeDrug,P28335,5-hydroxytryptamine receptor 2C
DB00246,Ziprasidone,SmallMoleculeDrug,P46098,5-hydroxytryptamine receptor 3A
DB00246,Ziprasidone,SmallMoleculeDrug,P50406,5-hydroxytryptamine receptor 6
DB00246,Ziprasidone,SmallMoleculeDrug,P34969,5-hydroxytryptamine receptor 7
DB00246,Ziprasidone,SmallMoleculeDrug,P35367,Histamine H1 receptor
DB00246,Ziprasidone,SmallMoleculeDrug,P35348,Alpha-1A adrenergic receptor
DB00246,Ziprasidone,SmallMoleculeDrug,P35368,Alpha-1B adrenergic receptor
DB00246,Ziprasidone,SmallMoleculeDrug,P08913,Alpha-2A adrenergic receptor
DB00246,Ziprasidone,SmallMoleculeDrug,P18089,Alpha-2B adrenergic receptor
DB00246,Ziprasidone,SmallMoleculeDrug,P18825,Alpha-2C adrenergic receptor
DB00246,Ziprasidone,SmallMoleculeDrug,P11229,Muscarinic acetylcholine receptor M1
DB00246,Ziprasidone,SmallMoleculeDrug,P08172,Muscarinic acetylcholine receptor M2
DB00246,Ziprasidone,SmallMoleculeDrug,P20309,Muscarinic acetylcholine receptor M3
DB00246,Ziprasidone,SmallMoleculeDrug,P08173,Muscarinic acetylcholine receptor M4
DB00246,Ziprasidone,SmallMoleculeDrug,P08912,Muscarinic acetylcholine receptor M5
DB00247,Methysergide,SmallMoleculeDrug,P41595,5-hydroxytryptamine receptor 2B
DB00247,Methysergide,SmallMoleculeDrug,P28335,5-hydroxytryptamine receptor 2C
DB00247,Methysergide,SmallMoleculeDrug,P28223,5-hydroxytryptamine receptor 2A
DB00247,Methysergide,SmallMoleculeDrug,P08908,5-hydroxytryptamine receptor 1A
DB00247,Methysergide,SmallMoleculeDrug,P34969,5-hydroxytryptamine receptor 7
DB00247,Methysergide,SmallMoleculeDrug,P28222,5-hydroxytryptamine receptor 1B
DB00247,Methysergide,SmallMoleculeDrug,P30939,5-hydroxytryptamine receptor 1F
DB00247,Methysergide,SmallMoleculeDrug,P28566,5-hydroxytryptamine receptor 1E
DB00248,Cabergoline,SmallMoleculeDrug,P14416,D(2) dopamine receptor
DB00248,Cabergoline,SmallMoleculeDrug,P41595,5-hydroxytryptamine receptor 2B
DB00248,Cabergoline,SmallMoleculeDrug,P35462,D(3) dopamine receptor
DB00248,Cabergoline,SmallMoleculeDrug,P28223,5-hydroxytryptamine receptor 2A
DB00248,Cabergoline,SmallMoleculeDrug,P18089,Alpha-2B adrenergic receptor
DB00248,Cabergoline,SmallMoleculeDrug,P28221,5-hydroxytryptamine receptor 1D
DB00248,Cabergoline,SmallMoleculeDrug,P21917,D(4) dopamine receptor
DB00248,Cabergoline,SmallMoleculeDrug,P08913,Alpha-2A adrenergic receptor
DB00248,Cabergoline,SmallMoleculeDrug,P08908,5-hydroxytryptamine receptor 1A
DB00248,Cabergoline,SmallMoleculeDrug,P18825,Alpha-2C adrenergic receptor
DB00248,Cabergoline,SmallMoleculeDrug,P21918,D(1B) dopamine receptor
DB00248,Cabergoline,SmallMoleculeDrug,P21728,D(1A) dopamine receptor
DB00248,Cabergoline,SmallMoleculeDrug,P28222,5-hydroxytryptamine receptor 1B
DB00248,Cabergoline,SmallMoleculeDrug,P28335,5-hydroxytryptamine receptor 2C
DB00248,Cabergoline,SmallMoleculeDrug,P34969,5-hydroxytryptamine receptor 7
DB00248,Cabergoline,SmallMoleculeDrug,P35348,Alpha-1A adrenergic receptor
DB00248,Cabergoline,SmallMoleculeDrug,P35368,Alpha-1B adrenergic receptor
DB00248,Cabergoline,SmallMoleculeDrug,P25100,Alpha-1D adrenergic receptor
DB00248,Cabergoline,SmallMoleculeDrug,P08588,Beta-1 adrenergic receptor
DB00248,Cabergoline,SmallMoleculeDrug,P07550,Beta-2 adrenergic receptor
DB00248,Cabergoline,SmallMoleculeDrug,P21728,D(1A) dopamine receptor
DB00248,Cabergoline,SmallMoleculeDrug,P21918,D(1B) dopamine receptor
DB00249,Idoxuridine,SmallMoleculeDrug,Q9QNF7,Thymidine kinase
DB00250,Dapsone,SmallMoleculeDrug,P0C0X2,Inactive dihydropteroate synthase 2
DB00250,Dapsone,SmallMoleculeDrug,P0C0X1,Dihydropteroate synthase
DB00251,Terconazole,SmallMoleculeDrug,P10613,Lanosterol 14-alpha demethylase
DB00252,Phenytoin,SmallMoleculeDrug,Q14524,Sodium channel protein type 5 subunit alpha
DB00252,Phenytoin,SmallMoleculeDrug,P35498,Sodium channel protein type 1 subunit alpha
DB00253,Medrysone,SmallMoleculeDrug,P04150,Glucocorticoid receptor
DB00254,Doxycycline,SmallMoleculeDrug,P0A7V8,30S ribosomal protein S4
DB00254,Doxycycline,SmallMoleculeDrug,P0A7X3,30S ribosomal protein S9
DB00254,Doxycycline,SmallMoleculeDrug,Q9UM07,Protein-arginine deiminase type-4
DB00254,Doxycycline,SmallMoleculeDrug,P61769,Beta-2-microglobulin
DB00255,Diethylstilbestrol,SmallMoleculeDrug,P03372,Estrogen receptor
DB00255,Diethylstilbestrol,SmallMoleculeDrug,P62508,Estrogen-related receptor gamma
DB00255,Diethylstilbestrol,SmallMoleculeDrug,Q92731,Estrogen receptor beta
DB00256,Lymecycline,SmallMoleculeDrug,P0A7V8,30S ribosomal protein S4
DB00256,Lymecycline,SmallMoleculeDrug,P0A7X3,30S ribosomal protein S9
DB00257,Clotrimazole,SmallMoleculeDrug,P10613,Lanosterol 14-alpha demethylase
DB00257,Clotrimazole,SmallMoleculeDrug,O15554,Intermediate conductance calcium-activated potassium channel protein 4
DB00259,Sulfanilamide,SmallMoleculeDrug,P0AC13,Dihydropteroate synthase
DB00260,Cycloserine,SmallMoleculeDrug,P0A6J8,D-alanine--D-alanine ligase A
DB00260,Cycloserine,SmallMoleculeDrug,Q9L888,Alanine racemase
DB00261,Anagrelide,SmallMoleculeDrug,Q14432,"cGMP-inhibited 3',5'-cyclic phosphodiesterase A"
DB00262,Carmustine,SmallMoleculeDrug,P00390,"Glutathione reductase, mitochondrial"
DB00263,Sulfisoxazole,SmallMoleculeDrug,P0AC13,Dihydropteroate synthase
DB00264,Metoprolol,SmallMoleculeDrug,P08588,Beta-1 adrenergic receptor
DB00264,Metoprolol,SmallMoleculeDrug,P07550,Beta-2 adrenergic receptor
DB00266,Dicoumarol,SmallMoleculeDrug,Q9BQB6,Vitamin K epoxide reductase complex subunit 1
DB00266,Dicoumarol,SmallMoleculeDrug,P15559,NAD(P)H dehydrogenase [quinone] 1
DB00266,Dicoumarol,SmallMoleculeDrug,Q08257,Quinone oxidoreductase
DB00267,Cefmenoxime,SmallMoleculeDrug,Q8XJ01,Penicillin-binding protein 1A
DB00267,Cefmenoxime,SmallMoleculeDrug,P0AD68,Peptidoglycan synthase FtsI
DB00268,Ropinirole,SmallMoleculeDrug,P35462,D(3) dopamine receptor
DB00268,Ropinirole,SmallMoleculeDrug,P14416,D(2) dopamine receptor
DB00268,Ropinirole,SmallMoleculeDrug,P21917,D(4) dopamine receptor
DB00268,Ropinirole,SmallMoleculeDrug,P08908,5-hydroxytryptamine receptor 1A
DB00268,Ropinirole,SmallMoleculeDrug,P28221,5-hydroxytryptamine receptor 1D
DB00268,Ropinirole,SmallMoleculeDrug,P41595,5-hydroxytryptamine receptor 2B
DB00268,Ropinirole,SmallMoleculeDrug,P21728,D(1A) dopamine receptor
DB00268,Ropinirole,SmallMoleculeDrug,P21918,D(1B) dopamine receptor
DB00268,Ropinirole,SmallMoleculeDrug,P28222,5-hydroxytryptamine receptor 1B
DB00268,Ropinirole,SmallMoleculeDrug,P28223,5-hydroxytryptamine receptor 2A
DB00268,Ropinirole,SmallMoleculeDrug,P28335,5-hydroxytryptamine receptor 2C
DB00268,Ropinirole,SmallMoleculeDrug,P08913,Alpha-2A adrenergic receptor
DB00268,Ropinirole,SmallMoleculeDrug,P18089,Alpha-2B adrenergic receptor
DB00268,Ropinirole,SmallMoleculeDrug,P18825,Alpha-2C adrenergic receptor
DB00270,Isradipine,SmallMoleculeDrug,Q13936,Voltage-dependent L-type calcium channel subunit alpha-1C
DB00270,Isradipine,SmallMoleculeDrug,P54289,Voltage-dependent calcium channel subunit alpha-2/delta-1
DB00270,Isradipine,SmallMoleculeDrug,Q08289,Voltage-dependent L-type calcium channel subunit beta-2
DB00270,Isradipine,SmallMoleculeDrug,O95180,Voltage-dependent T-type calcium channel subunit alpha-1H
DB00270,Isradipine,SmallMoleculeDrug,Q9NY47,Voltage-dependent calcium channel subunit alpha-2/delta-2
DB00270,Isradipine,SmallMoleculeDrug,Q01668,Voltage-dependent L-type calcium channel subunit alpha-1D
DB00270,Isradipine,SmallMoleculeDrug,Q13698,Voltage-dependent L-type calcium channel subunit alpha-1S
DB00272,Betazole,SmallMoleculeDrug,P25021,Histamine H2 receptor
DB00273,Topiramate,SmallMoleculeDrug,P14867,Gamma-aminobutyric acid receptor subunit alpha-1
DB00273,Topiramate,SmallMoleculeDrug,P35498,Sodium channel protein type 1 subunit alpha
DB00273,Topiramate,SmallMoleculeDrug,P39086,"Glutamate receptor ionotropic, kainate 1"
DB00273,Topiramate,SmallMoleculeDrug,P00918,Carbonic anhydrase 2
DB00273,Topiramate,SmallMoleculeDrug,P22748,Carbonic anhydrase 4
DB00273,Topiramate,SmallMoleculeDrug,P14867,Gamma-aminobutyric acid receptor subunit alpha-1
DB00273,Topiramate,SmallMoleculeDrug,P47869,Gamma-aminobutyric acid receptor subunit alpha-2
DB00273,Topiramate,SmallMoleculeDrug,P34903,Gamma-aminobutyric acid receptor subunit alpha-3
DB00273,Topiramate,SmallMoleculeDrug,P48169,Gamma-aminobutyric acid receptor subunit alpha-4
DB00273,Topiramate,SmallMoleculeDrug,P31644,Gamma-aminobutyric acid receptor subunit alpha-5
DB00273,Topiramate,SmallMoleculeDrug,Q16445,Gamma-aminobutyric acid receptor subunit alpha-6
DB00273,Topiramate,SmallMoleculeDrug,P18505,Gamma-aminobutyric acid receptor subunit beta-1
DB00273,Topiramate,SmallMoleculeDrug,P47870,Gamma-aminobutyric acid receptor subunit beta-2
DB00273,Topiramate,SmallMoleculeDrug,P28472,Gamma-aminobutyric acid receptor subunit beta-3
DB00273,Topiramate,SmallMoleculeDrug,O14764,Gamma-aminobutyric acid receptor subunit delta
DB00273,Topiramate,SmallMoleculeDrug,P78334,Gamma-aminobutyric acid receptor subunit epsilon
DB00273,Topiramate,SmallMoleculeDrug,Q8N1C3,Gamma-aminobutyric acid receptor subunit gamma-1
DB00273,Topiramate,SmallMoleculeDrug,P18507,Gamma-aminobutyric acid receptor subunit gamma-2
DB00273,Topiramate,SmallMoleculeDrug,Q99928,Gamma-aminobutyric acid receptor subunit gamma-3
DB00273,Topiramate,SmallMoleculeDrug,O00591,Gamma-aminobutyric acid receptor subunit pi
DB00273,Topiramate,SmallMoleculeDrug,Q9UN88,Gamma-aminobutyric acid receptor subunit theta
DB00274,Cefmetazole,SmallMoleculeDrug,C1KC03,Penicillin binding protein 2a
DB00274,Cefmetazole,SmallMoleculeDrug,P02918,Penicillin-binding protein 1A
DB00274,Cefmetazole,SmallMoleculeDrug,P02919,Penicillin-binding protein 1B
DB00274,Cefmetazole,SmallMoleculeDrug,P0AD68,Peptidoglycan synthase FtsI
DB00274,Cefmetazole,SmallMoleculeDrug,P0AEB2,D-alanyl-D-alanine carboxypeptidase DacA
DB00274,Cefmetazole,SmallMoleculeDrug,P08506,D-alanyl-D-alanine carboxypeptidase DacC
DB00275,Olmesartan,SmallMoleculeDrug,P30556,Type-1 angiotensin II receptor
DB00276,Amsacrine,SmallMoleculeDrug,P11388,DNA topoisomerase 2-alpha
DB00276,Amsacrine,SmallMoleculeDrug,Q12809,Potassium voltage-gated channel subfamily H member 2
DB00277,Theophylline,SmallMoleculeDrug,P30542,Adenosine receptor A1
DB00277,Theophylline,SmallMoleculeDrug,P29274,Adenosine receptor A2a
DB00277,Theophylline,SmallMoleculeDrug,P29275,Adenosine receptor A2b
DB00277,Theophylline,SmallMoleculeDrug,Q07343,"cAMP-specific 3',5'-cyclic phosphodiesterase 4B"
DB00277,Theophylline,SmallMoleculeDrug,O76074,"cGMP-specific 3',5'-cyclic phosphodiesterase"
DB00277,Theophylline,SmallMoleculeDrug,P27815,"cAMP-specific 3',5'-cyclic phosphodiesterase 4A"
