qtl_accession_id,qtl_name,published_symbol,to_accession,trait_category,trait_name,trait_symbol,chromosome,start,end
AQE051,BNL6.32,,TO:0000269,Yield,100-seed weight,HSDWT,Chr. 3,23126064,23126256
AQE062,BNL6.32,,TO:0000448,Yield,filled grain percentage,FGRPCENT,Chr. 3,28091534,35836096
AQFP029,BNL6.32,bct3,TO:0000339,Anatomy,culm thickness,CULMTH,Chr. 3,3865706,3865940
AQFP010,BNL6.32,cl3,TO:0000576,Anatomy,culm length,CULMLG,Chr. 3,3865706,3865940
AQFP031,BNL6.32,cl3,TO:0000576,Anatomy,culm length,CULMLG,Chr. 3,3865706,3865940
AQGA007,BNL6.32,,TO:0000196,Quality,amylose content,AMYCN,Chr. 3,1908094,3826137
AQGA009,BNL6.32,,TO:0000196,Quality,amylose content,AMYCN,Chr. 3,27588613,27588762
AQGA011,BNL6.32,,TO:0000196,Quality,amylose content,AMYCN,Chr. 3,27588613,28129514
AQGA020,BNL6.32,,TO:0000196,Quality,amylose content,AMYCN,Chr. 3,27588613,28129514
AQHF020,BNL6.32,QRdg3,TO:0000249,Development,leaf senescence,LFSNS,Chr. 3,33709088,33709541
AQHF024,BNL6.32,Qrga3,TO:0000249,Development,leaf senescence,LFSNS,Chr. 3,33709088,33709541
AQHF028,BNL6.32,QRrg3,TO:0000249,Development,leaf senescence,LFSNS,Chr. 3,33709088,33709541
AQHF041,BNL6.32,QRdg3,TO:0000249,Development,leaf senescence,LFSNS,Chr. 3,33709088,33709541
AQHF047,BNL6.32,QRrg3,TO:0000249,Development,leaf senescence,LFSNS,Chr. 3,33709088,33709541
AQHF001,BNL6.32,QFll3,TO:0000135,Anatomy,leaf length,LFLG,Chr. 3,1319487,1319743
AQHF009,BNL6.32,QFla3,TO:0000540,Anatomy,leaf area,LFAR,Chr. 3,1319487,1319743
AQCO001,BNL6.32,L3a,TO:0000421,Sterility or fertility,pollen fertility,PF,Chr. 3,31850128,33841716
AQCO002,BNL6.32,L3b,TO:0000421,Sterility or fertility,pollen fertility,PF,Chr. 3,12020575,12869833
AQCO022,BNL6.32,,TO:0000421,Sterility or fertility,pollen fertility,PF,Chr. 3,33436286,33437791
AQCO099,BNL6.32,,TO:0000421,Sterility or fertility,pollen fertility,PF,Chr. 3,33436286,33437791
AQCO123,BNL6.32,,TO:0000421,Sterility or fertility,pollen fertility,PF,Chr. 3,31850128,31850651
AQCO127,BNL6.32,,TO:0000421,Sterility or fertility,pollen fertility,PF,Chr. 3,25128239,25128864
AQCO128,BNL6.32,,TO:0000421,Sterility or fertility,pollen fertility,PF,Chr. 3,12868713,12869833
AQCP001,BNL6.32,L3a,TO:0000421,Sterility or fertility,pollen fertility,PF,Chr. 3,31850128,33841716
AQCP002,BNL6.32,L3b,TO:0000421,Sterility or fertility,pollen fertility,PF,Chr. 3,12020575,12869833
AQCP022,BNL6.32,,TO:0000421,Sterility or fertility,pollen fertility,PF,Chr. 3,33436286,33437791
AQCP097,BNL6.32,,TO:0000421,Sterility or fertility,pollen fertility,PF,Chr. 3,33436286,33437791
AQCO005,BNL6.32,L3b,TO:0000180,Sterility or fertility,spikelet fertility,SPKFRT,Chr. 3,5729669,12023770
AQCO015,BNL6.32,L3a,TO:0000180,Sterility or fertility,spikelet fertility,SPKFRT,Chr. 3,28724004,30114777
AQCO024,BNL6.32,,TO:0000180,Sterility or fertility,spikelet fertility,SPKFRT,Chr. 3,33436286,33437791
AQCO026,BNL6.32,,TO:0000180,Sterility or fertility,spikelet fertility,SPKFRT,Chr. 3,33436286,33437791
AQCO028,BNL6.32,,TO:0000180,Sterility or fertility,spikelet fertility,SPKFRT,Chr. 3,33436286,33437791
AQCO030,BNL6.32,,TO:0000180,Sterility or fertility,spikelet fertility,SPKFRT,Chr. 3,33436286,33437791
AQCO032,BNL6.32,,TO:0000180,Sterility or fertility,spikelet fertility,SPKFRT,Chr. 3,33436286,33437791
AQCO082,BNL6.32,,TO:0000180,Sterility or fertility,spikelet fertility,SPKFRT,Chr. 3,33436286,33437791
AQCO084,BNL6.32,,TO:0000180,Sterility or fertility,spikelet fertility,SPKFRT,Chr. 3,33436286,33437791
AQCO101,BNL6.32,,TO:0000180,Sterility or fertility,spikelet fertility,SPKFRT,Chr. 3,33436286,33437791
AQCO103,BNL6.32,,TO:0000180,Sterility or fertility,spikelet fertility,SPKFRT,Chr. 3,33436286,33437791
AQCO105,BNL6.32,,TO:0000180,Sterility or fertility,spikelet fertility,SPKFRT,Chr. 3,33436286,33437791
AQCO107,BNL6.32,,TO:0000180,Sterility or fertility,spikelet fertility,SPKFRT,Chr. 3,33436286,33437791
AQCO109,BNL6.32,,TO:0000180,Sterility or fertility,spikelet fertility,SPKFRT,Chr. 3,33436286,33437791
AQCO115,BNL6.32,S3b,TO:0000180,Sterility or fertility,spikelet fertility,SPKFRT,Chr. 3,5729669,12023770
AQCO117,BNL6.32,S3a,TO:0000180,Sterility or fertility,spikelet fertility,SPKFRT,Chr. 3,28724004,30114777
AQCO118,BNL6.32,S3b,TO:0000180,Sterility or fertility,spikelet fertility,SPKFRT,Chr. 3,5729669,12023770
AQCO120,BNL6.32,S3a,TO:0000180,Sterility or fertility,spikelet fertility,SPKFRT,Chr. 3,31850128,33841716
AQCO125,BNL6.32,,TO:0000180,Sterility or fertility,spikelet fertility,SPKFRT,Chr. 3,31850128,31850651
AQCO129,BNL6.32,,TO:0000180,Sterility or fertility,spikelet fertility,SPKFRT,Chr. 3,25128239,25128864
AQCO130,BNL6.32,,TO:0000180,Sterility or fertility,spikelet fertility,SPKFRT,Chr. 3,12868713,12869833
AQCO140,BNL6.32,,TO:0000180,Sterility or fertility,spikelet fertility,SPKFRT,Chr. 3,3964690,3965273
AQCO142,BNL6.32,,TO:0000180,Sterility or fertility,spikelet fertility,SPKFRT,Chr. 3,3964690,3965273
AQCO149,BNL6.32,,TO:0000180,Sterility or fertility,spikelet fertility,SPKFRT,Chr. 3,3964690,3965273
AQCO150,BNL6.32,,TO:0000180,Sterility or fertility,spikelet fertility,SPKFRT,Chr. 3,16301452,16302006
AQCO151,BNL6.32,,TO:0000180,Sterility or fertility,spikelet fertility,SPKFRT,Chr. 3,3964690,3965273
AQCO152,BNL6.32,,TO:0000180,Sterility or fertility,spikelet fertility,SPKFRT,Chr. 3,16301452,16302006
AQCP005,BNL6.32,L3b,TO:0000180,Sterility or fertility,spikelet fertility,SPKFRT,Chr. 3,5729669,12023770
AQCP015,BNL6.32,L3a,TO:0000180,Sterility or fertility,spikelet fertility,SPKFRT,Chr. 3,28724004,30114777
AQCP024,BNL6.32,,TO:0000180,Sterility or fertility,spikelet fertility,SPKFRT,Chr. 3,33436286,33437791
AQCP026,BNL6.32,,TO:0000180,Sterility or fertility,spikelet fertility,SPKFRT,Chr. 3,33436286,33437791
AQCP028,BNL6.32,,TO:0000180,Sterility or fertility,spikelet fertility,SPKFRT,Chr. 3,33436286,33437791
AQCP030,BNL6.32,,TO:0000180,Sterility or fertility,spikelet fertility,SPKFRT,Chr. 3,33436286,33437791
AQCP032,BNL6.32,,TO:0000180,Sterility or fertility,spikelet fertility,SPKFRT,Chr. 3,33436286,33437791
AQCP082,BNL6.32,,TO:0000180,Sterility or fertility,spikelet fertility,SPKFRT,Chr. 3,33436286,33437791
AQCP084,BNL6.32,,TO:0000180,Sterility or fertility,spikelet fertility,SPKFRT,Chr. 3,33436286,33437791
AQCP099,BNL6.32,,TO:0000180,Sterility or fertility,spikelet fertility,SPKFRT,Chr. 3,33436286,33437791
AQCP101,BNL6.32,,TO:0000180,Sterility or fertility,spikelet fertility,SPKFRT,Chr. 3,33436286,33437791
AQCP103,BNL6.32,,TO:0000180,Sterility or fertility,spikelet fertility,SPKFRT,Chr. 3,33436286,33437791
AQCP105,BNL6.32,,TO:0000180,Sterility or fertility,spikelet fertility,SPKFRT,Chr. 3,33436286,33437791
AQCP107,BNL6.32,,TO:0000180,Sterility or fertility,spikelet fertility,SPKFRT,Chr. 3,33436286,33437791
AQHR009,BNL6.32,qTN-3-1,TO:0000346,Vigor,tiller number,TINB,Chr. 3,8409404,8410886
AQHR010,BNL6.32,qTN-3-2,TO:0000346,Vigor,tiller number,TINB,Chr. 3,27127661,28528927
AQY010,BNL6.32,hd3,TO:0000137,Development,days to heading,DTHD,Chr. 3,15335340,15335997
AQY014,BNL6.32,hd3,TO:0000137,Development,days to heading,DTHD,Chr. 3,15335340,15335997
AQAG020,BNL6.32,gp3,TO:0000445,Yield,grain number,GRNB,Chr. 3,23088332,23088721
AQAG026,BNL6.32,gp3,TO:0000445,Yield,grain number,GRNB,Chr. 3,23088332,24595466
AQY006,BNL6.32,ph3,TO:0000207,Vigor,plant height,PTHT,Chr. 3,15335340,15335997
AQAE014,BNL6.32,qPH3-1,TO:0000207,Vigor,plant height,PTHT,Chr. 3,23088332,24595466
AQEX023,BNL6.32,qRDW3,TO:0000078,Vigor,root dry weight,RTDWT,Chr. 3,23088332,24595466
AQGI001,BNL6.32,n-r3,TO:0000078,Vigor,root dry weight,RTDWT,Chr. 3,6001347,8410886
AQGI011,BNL6.32,n-r3,TO:0000078,Vigor,root dry weight,RTDWT,Chr. 3,6001347,8410886
AQGI012,BNL6.32,,TO:0000078,Vigor,root dry weight,RTDWT,Chr. 3,35439314,35836096
AQGI040,BNL6.32,,TO:0000078,Vigor,root dry weight,RTDWT,Chr. 3,8409404,12407510
AQGI041,BNL6.32,,TO:0000078,Vigor,root dry weight,RTDWT,Chr. 3,12407382,12407510
AQGI042,BNL6.32,,TO:0000078,Vigor,root dry weight,RTDWT,Chr. 3,28724004,34925301
AQGI052,BNL6.32,,TO:0000078,Vigor,root dry weight,RTDWT,Chr. 3,8409404,12407510
AQGI077,BNL6.32,,TO:0000078,Vigor,root dry weight,RTDWT,Chr. 3,28724004,34925301
AQGI086,BNL6.32,,TO:0000078,Vigor,root dry weight,RTDWT,Chr. 3,12407382,12407510
AQQ016,BNL6.32,gn3,TO:0000445,Yield,seed number,SDNB,Chr. 3,23088332,23088721
AQQ020,BNL6.32,gn3,TO:0000445,Yield,seed number,SDNB,Chr. 3,23088332,23088721
AQCB016,BNL6.32,ss3,TO:0000455,Yield,seed set percent,SDSPCENT,Chr. 3,23088332,23088721
AQQ026,BNL6.32,gw3a,TO:0000181,Yield,seed weight,SDWT,Chr. 3,23088332,23088721
AQQ027,BNL6.32,gw3b,TO:0000181,Yield,seed weight,SDWT,Chr. 3,28527366,28724834
AQQ031,BNL6.32,gw3a,TO:0000181,Yield,seed weight,SDWT,Chr. 3,23088332,23088721
AQQ032,BNL6.32,gw3b,TO:0000181,Yield,seed weight,SDWT,Chr. 3,28527366,28724834
AQAC049,BNL6.32,qSW3-1,TO:0000181,Yield,seed weight,SDWT,Chr. 3,27127661,28528927
AQAC050,BNL6.32,qSW3-2,TO:0000181,Yield,seed weight,SDWT,Chr. 3,23088332,23088721
AQAE019,BNL6.32,qSS3-1,TO:0000181,Yield,seed weight,SDWT,Chr. 3,28527366,28724834
AQAE020,BNL6.32,qSS3-2,TO:0000181,Yield,seed weight,SDWT,Chr. 3,23088332,23088721
AQAB057,BNL6.32,qSSBp3-1,TO:0000456,Yield,spikelet number,SPKNB,Chr. 3,27127661,28528927
AQAB067,BNL6.32,qSPB3-1,TO:0000456,Yield,spikelet number,SPKNB,Chr. 3,35439314,35836096
AQAB072,BNL6.32,qSSB3-1,TO:0000456,Yield,spikelet number,SPKNB,Chr. 3,34925198,35443016
AQAI017,BNL6.32,qTS3-1,TO:0000456,Yield,spikelet number,SPKNB,Chr. 3,34925198,35443016
AQCB004,BNL6.32,sp3,TO:0000456,Yield,spikelet number,SPKNB,Chr. 3,23088332,23088721
AQAI071,BNL6.32,qGW3-1,TO:0000382,Yield,1000-grain weight,TGRWT,Chr. 3,28527366,28724834
AQAI072,BNL6.32,qGW3-2,TO:0000382,Yield,1000-grain weight,TGRWT,Chr. 3,23088332,23088721
AQAG009,BNL6.32,tp3a,TO:0000346,Vigor,tiller number,TINB,Chr. 3,6001347,8410886
AQAG017,BNL6.32,tp3b,TO:0000346,Vigor,tiller number,TINB,Chr. 3,23088332,24595466
AQEX008,BNL6.32,qMRL3,TO:0000227,Anatomy,root length,RTLG,Chr. 3,6001347,8410886
AQCB012,BNL6.32,gp3,TO:0000447,Yield,filled grain number,FGRNB,Chr. 3,23088332,23088721
AQCY062,BNL6.32,,TO:0000447,Yield,filled grain number,FGRNB,Chr. 3,8409404,12407510
AQCY064,BNL6.32,,TO:0000447,Yield,filled grain number,FGRNB,Chr. 3,34925198,34925301
AQAB001,BNL6.32,qPL3-1,TO:0000040,Anatomy,panicle length,PNLG,Chr. 3,34925198,35443016
AQAB034,BNL6.32,qPL3-1,TO:0000040,Anatomy,panicle length,PNLG,Chr. 3,34925198,35443016
AQQ003,BNL6.32,yd3,TO:0000396,Yield,grain yield,GRYLD,Chr. 3,23088332,23088721
AQCY002,BNL6.32,yd3,TO:0000396,Yield,grain yield,GRYLD,Chr. 3,15335340,15335997
AQAC001,BNL6.32,qGR3-1,TO:0000430,Vigor,germination speed,GERMSP,Chr. 3,28527366,28724834
AQAC003,BNL6.32,qGR3-3,TO:0000430,Vigor,germination speed,GERMSP,Chr. 3,8409404,8410886
AQAG031,BNL6.32,gw3a,TO:0000382,Yield,1000-seed weight,TSDWT,Chr. 3,23088332,23088721
AQAG032,BNL6.32,gw3b,TO:0000382,Yield,1000-seed weight,TSDWT,Chr. 3,28724004,28724834
AQAG044,BNL6.32,gw3a,TO:0000382,Yield,1000-seed weight,TSDWT,Chr. 3,23088332,23088721
AQCY014,BNL6.32,gw3,TO:0000382,Yield,1000-seed weight,TSDWT,Chr. 3,23088332,23088721
AQCY032,BNL6.32,gw3,TO:0000382,Yield,1000-seed weight,TSDWT,Chr. 3,23088332,23088721
AQEY008,BNL6.32,Kw3-1,TO:0000382,Yield,1000-seed weight,TSDWT,Chr. 3,23088332,23088721
AQEY013,BNL6.32,Kw3-1,TO:0000382,Yield,1000-seed weight,TSDWT,Chr. 3,23088332,23088721
AQEY015,BNL6.32,Kw3-2,TO:0000382,Yield,1000-seed weight,TSDWT,Chr. 3,27127661,28528927
AQGI102,BNL6.32,n-s3b,TO:0000327,Yield,biomass yield,BIOMYLD,Chr. 3,23088332,23088721
AQGI110,BNL6.32,,TO:0000327,Yield,biomass yield,BIOMYLD,Chr. 3,6001347,8410886
AQGI111,BNL6.32,,TO:0000327,Yield,biomass yield,BIOMYLD,Chr. 3,6001347,8410886
AQGI140,BNL6.32,,TO:0000327,Yield,biomass yield,BIOMYLD,Chr. 3,28724004,34925301
AQGI147,BNL6.32,,TO:0000327,Yield,biomass yield,BIOMYLD,Chr. 3,28724004,34925301
AQGI158,BNL6.32,rsw3b,TO:0000327,Yield,biomass yield,BIOMYLD,Chr. 3,28724004,34925301
AQGI164,BNL6.32,,TO:0000327,Yield,biomass yield,BIOMYLD,Chr. 3,12407382,12407510
AQGI166,BNL6.32,rsw3b,TO:0000327,Yield,biomass yield,BIOMYLD,Chr. 3,28724004,34925301
AQGI174,BNL6.32,,TO:0000327,Yield,biomass yield,BIOMYLD,Chr. 3,35439314,35836096
AQGI176,BNL6.32,,TO:0000327,Yield,biomass yield,BIOMYLD,Chr. 3,12407382,15335997
AQCA002,BNL6.32,gl3a,TO:0000146,Quality,seed length,SDLG,Chr. 3,8409404,8410886
AQCA012,BNL6.32,gl3a,TO:0000146,Quality,seed length,SDLG,Chr. 3,8409404,8410886
CQR2,BNL6.32,,TO:0000144,Quality,milled rice ratio,MR,Chr. 3,23088332,23088721
CQR4,BNL6.32,,TO:0000222,Quality,head rice,HEADR,Chr. 3,23088332,23088721
AQAB045,BNL6.32,qNSB3-1,TO:0000557,Anatomy,secondary branch,SBRNB,Chr. 3,24594882,27128592
AQEX030,BNL6.32,qTDW3,TO:0000457,Yield,total biomass yield,TBIOMYLD,Chr. 3,23088332,24595466
AQGI193,BNL6.32,n-p3,TO:0000457,Yield,total biomass yield,TBIOMYLD,Chr. 3,23088332,24595466
AQGI210,BNL6.32,,TO:0000457,Yield,total biomass yield,TBIOMYLD,Chr. 3,6001347,6002681
AQGI225,BNL6.32,,TO:0000457,Yield,total biomass yield,TBIOMYLD,Chr. 3,28724004,34925301
AQGI226,BNL6.32,,TO:0000457,Yield,total biomass yield,TBIOMYLD,Chr. 3,35439314,35836096
AQGI235,BNL6.32,,TO:0000457,Yield,total biomass yield,TBIOMYLD,Chr. 3,35439314,35836096
AQGI237,BNL6.32,,TO:0000457,Yield,total biomass yield,TBIOMYLD,Chr. 3,28724004,34925301
AQGI256,BNL6.32,,TO:0000457,Yield,total biomass yield,TBIOMYLD,Chr. 3,8409404,8410886
AQGI257,BNL6.32,,TO:0000457,Yield,total biomass yield,TBIOMYLD,Chr. 3,12407382,12407510
AQAC032,BNL6.32,qTAA3-1,TO:0000336,Biochemical,total amylase activity,TAMYASEACT,Chr. 3,6001347,8410886
AQAE006,BNL6.32,qLS3-1,TO:0000135,Anatomy,leaf length,LFLG,Chr. 3,23088332,23088721
AQAE010,BNL6.32,qLT3-1,TO:0000135,Anatomy,leaf length,LFLG,Chr. 3,34925198,35443016
AQAF029,BNL6.32,rbr3,TO:0000074,Biotic stress,blast disease resistance,BLRS,Chr. 3,23088332,24595466
AQAI007,BNL6.32,qSL3-1,TO:0000540,Anatomy,leaf area,LFAR,Chr. 3,34925198,35443016
AQAI029,BNL6.32,qFLTS3-1,TO:0000452,Yield,leaf area to spikelet number ratio,LFARSPKNBRO,Chr. 3,34925198,35443016
AQAI030,BNL6.32,qFLTS3-2,TO:0000452,Yield,leaf area to spikelet number ratio,LFARSPKNBRO,Chr. 3,27127661,28528927
AQGE021,BNL6.32,,TO:0000589,Quality,grain weight,GRWT,Chr. 3,23088332,23088721
AQGE027,BNL6.32,,TO:0000589,Quality,grain weight,GRWT,Chr. 3,23088332,23088721
CQR13,BNL6.32,,TO:0000651,Quality,flour color,FLRCL,Chr. 3,23088332,23088721
AQCB031,BNL6.32,dn3,TO:0000565,Anatomy,spikelets per panicle length,SPKPPNLG,Chr. 3,23088332,23088721
AQGE003,BNL6.32,,TO:0000734,Quality,grain length,GRLG,Chr. 3,23088332,24595466
AQGE016,BNL6.32,,TO:0000377,Quality,cooked kernel elongation,CKKEL,Chr. 3,12407382,15335997
AQFJ009,BNL6.32,,TO:0000152,Yield,panicle number,PNNB,Chr. 3,3865706,3865940
AQFJ059,BNL6.32,,TO:0000449,Yield,grain yield per plant,GRYLDPPL,Chr. 3,30912691,33386423
AQFJ061,BNL6.32,,TO:0000449,Yield,grain yield per plant,GRYLDPPL,Chr. 3,7142007,8405752
AQFJ065,BNL6.32,,TO:0000449,Yield,grain yield per plant,GRYLDPPL,Chr. 3,23126064,27411811
AQFJ036,BNL6.32,,TO:0000382,Yield,1000-seed weight,TSDWT,Chr. 3,23126064,27411811
AQEI005,BNL6.32,,TO:0000249,Development,leaf senescence,LFSNS,Chr. 3,1014347,1945949
AQEI006,BNL6.32,,TO:0000249,Development,leaf senescence,LFSNS,Chr. 3,1014347,1945949
AQEI007,BNL6.32,,TO:0000249,Development,leaf senescence,LFSNS,Chr. 3,8405368,8405752
AQEI008,BNL6.32,,TO:0000249,Development,leaf senescence,LFSNS,Chr. 3,10657060,10657392
AQEI009,BNL6.32,,TO:0000249,Development,leaf senescence,LFSNS,Chr. 3,12407382,12407510
AQEI010,BNL6.32,,TO:0000249,Development,leaf senescence,LFSNS,Chr. 3,30912691,33386423
AQEI011,BNL6.32,rdgf3,TO:0000249,Development,leaf senescence,LFSNS,Chr. 3,30912691,33386423
AQEI052,BNL6.32,,TO:0000249,Development,leaf senescence,LFSNS,Chr. 3,7142007,8405752
AQEI053,BNL6.32,,TO:0000249,Development,leaf senescence,LFSNS,Chr. 3,10657060,12407510
AQEI054,BNL6.32,,TO:0000249,Development,leaf senescence,LFSNS,Chr. 3,30912691,30912974
AQEI055,BNL6.32,,TO:0000249,Development,leaf senescence,LFSNS,Chr. 3,30912691,33386423
AQEI056,BNL6.32,,TO:0000249,Development,leaf senescence,LFSNS,Chr. 3,35588431,35588644
AQEI064,BNL6.32,,TO:0000249,Development,leaf senescence,LFSNS,Chr. 3,30912691,30912974
AQEI065,BNL6.32,,TO:0000249,Development,leaf senescence,LFSNS,Chr. 3,7142007,8405752
AQEI069,BNL6.32,rdgs3a,TO:0000249,Development,leaf senescence,LFSNS,Chr. 3,12407382,12407510
AQEI071,BNL6.32,rdgs3b,TO:0000249,Development,leaf senescence,LFSNS,Chr. 3,30912691,33386423
AQEI087,BNL6.32,rrgs3,TO:0000249,Development,leaf senescence,LFSNS,Chr. 3,3865706,3865940
AQEI088,BNL6.32,,TO:0000249,Development,leaf senescence,LFSNS,Chr. 3,10657060,12407510
AQEI089,BNL6.32,,TO:0000249,Development,leaf senescence,LFSNS,Chr. 3,30912691,33386423
AQEI108,BNL6.32,,TO:0000249,Development,leaf senescence,LFSNS,Chr. 3,1014347,3865940
AQEI109,BNL6.32,,TO:0000249,Development,leaf senescence,LFSNS,Chr. 3,12407382,12407510
AQEI118,BNL6.32,rgaf3,TO:0000249,Development,leaf senescence,LFSNS,Chr. 3,30912691,33386423
AQEI122,BNL6.32,,TO:0000249,Development,leaf senescence,LFSNS,Chr. 3,3865706,3865940
AQEI130,BNL6.32,,TO:0000249,Development,leaf senescence,LFSNS,Chr. 3,1014347,3865940
AQEI131,BNL6.32,,TO:0000249,Development,leaf senescence,LFSNS,Chr. 3,7142007,8405752
AQEI132,BNL6.32,,TO:0000249,Development,leaf senescence,LFSNS,Chr. 3,12407382,12407510
AQEI133,BNL6.32,,TO:0000249,Development,leaf senescence,LFSNS,Chr. 3,23126064,27411811
AQEI141,BNL6.32,rgas3,TO:0000249,Development,leaf senescence,LFSNS,Chr. 3,35588431,35588644
EQA0002,BNL6.32,qSD.3,TO:0000253,Vigor,seed dormancy,SDDOR,Chr. 3,12407382,12407510
AQDQ024,BNL6.32,ph3,TO:0000207,Vigor,plant height,PTHT,Chr. 3,484860,5556455
AQDQ025,BNL6.32,ph3,TO:0000207,Vigor,plant height,PTHT,Chr. 3,484860,5556455
AQDQ026,BNL6.32,ph3,TO:0000207,Vigor,plant height,PTHT,Chr. 3,484860,5556455
CQAX32,BNL6.32,,TO:0000207,Vigor,plant height,PTHT,Chr. 3,484860,3496275
CQAO3,BNL6.32,gwt4,TO:0000181,Yield,seed weight,SDWT,Chr. 3,3495798,3496275
AQDQ023,BNL6.32,tns3,TO:0000456,Yield,spikelet number,SPKNB,Chr. 3,484860,1450227
AQDQ027,BNL6.32,pl3a,TO:0000040,Anatomy,panicle length,PNLG,Chr. 3,484860,5556455
AQDQ028,BNL6.32,pl3b,TO:0000040,Anatomy,panicle length,PNLG,Chr. 3,6041028,12147908
AQDQ029,BNL6.32,pl3b,TO:0000040,Anatomy,panicle length,PNLG,Chr. 3,6041028,12147908
AQCL001,BNL6.32,,TO:0000429,Abiotic stress,salt sensitivity,SALTSN,Chr. 3,484860,485333
AQCF003,BNL6.32,,TO:0000456,Yield,spikelet number,SPKNB,Chr. 3,16301452,22339895
AQCF004,BNL6.32,,TO:0000456,Yield,spikelet number,SPKNB,Chr. 3,29521221,34626096
AQCF017,BNL6.32,,TO:0000456,Yield,spikelet number,SPKNB,Chr. 3,16301452,22339895
AQAK010,BNL6.32,qNFGP-3-1,TO:0000447,Yield,filled grain number,FGRNB,Chr. 3,16301452,22339895
AQEJ063,BNL6.32,,TO:0000370,Anatomy,leaf width,LFWD,Chr. 3,7914372,16302006
AQEJ065,BNL6.32,,TO:0000370,Anatomy,leaf width,LFWD,Chr. 3,7914372,16302006
AQEJ067,BNL6.32,,TO:0000370,Anatomy,leaf width,LFWD,Chr. 3,22798284,22799337
AQEJ069,BNL6.32,,TO:0000370,Anatomy,leaf width,LFWD,Chr. 3,22798284,22799337
AQEJ071,BNL6.32,,TO:0000370,Anatomy,leaf width,LFWD,Chr. 3,7914372,16302006
AQEJ008,BNL6.32,qFLWR-3,TO:0000542,Anatomy,leaf length to width ratio,LFLGWDRO,Chr. 3,34625499,35436116
AQEJ009,BNL6.32,qSLWR-3,TO:0000542,Anatomy,leaf length to width ratio,LFLGWDRO,Chr. 3,34625499,35436116
AQEJ055,BNL6.32,,TO:0000542,Anatomy,leaf length to width ratio,LFLGWDRO,Chr. 3,33838732,34626096
AQEJ073,BNL6.32,,TO:0000542,Anatomy,leaf length to width ratio,LFLGWDRO,Chr. 3,7914372,16302006
AQAK026,BNL6.32,qTGWT-3-1,TO:0000382,Yield,1000-seed weight,TSDWT,Chr. 3,8405368,8405752
AQAK027,BNL6.32,qTGWT-3-2,TO:0000382,Yield,1000-seed weight,TSDWT,Chr. 3,28091534,28813128
AQCF030,BNL6.32,,TO:0000382,Yield,1000-seed weight,TSDWT,Chr. 3,29521221,35436116
AQEJ081,BNL6.32,,TO:0000434,Vigor,root activity,RTACT,Chr. 3,22798284,23088721
AQEJ083,BNL6.32,,TO:0000434,Vigor,root activity,RTACT,Chr. 3,22798284,23088721
AQEJ084,BNL6.32,,TO:0000434,Vigor,root activity,RTACT,Chr. 3,35434202,36396286
AQEJ007,BNL6.32,qSLL-3,TO:0000135,Anatomy,leaf length,LFLG,Chr. 3,34625499,35436116
AQEJ057,BNL6.32,,TO:0000135,Anatomy,leaf length,LFLG,Chr. 3,33838732,34626096
AQEJ061,BNL6.32,,TO:0000540,Anatomy,leaf area,LFAR,Chr. 3,7914372,16302006
AQEJ059,BNL6.32,,TO:0000616,Anatomy,leaf perimeter,LFPM,Chr. 3,33838732,34626096
AQEC001,BNL6.32,Wbph7(t),TO:0000205,Biotic stress,white-backed planthopper resistance,WBPHRS,Chr. 3,35439314,35710936
AQCD002,BNL6.32,qASV3,TO:0000134,Quality,alkali digestion,ALKDIG,Chr. 3,27411671,33386423
AQEL017,BNL6.32,,TO:0000227,Anatomy,root length,RTLG,Chr. 3,3495798,3496275
AQEL011,BNL6.32,,TO:0000084,Vigor,root number,RTNB,Chr. 3,10599177,12407510
AQEL012,BNL6.32,,TO:0000084,Vigor,root number,RTNB,Chr. 3,28812372,28813128
AQEL013,BNL6.32,,TO:0000084,Vigor,root number,RTNB,Chr. 3,484860,485333
AQEL021,BNL6.32,,TO:0000084,Vigor,root number,RTNB,Chr. 3,5729669,5730617
CQU13,BNL6.32,,TO:0000705,Biochemical,acid phosphatase activity,ACIDPASEACT,Chr. 3,19411563,19412007
CQAS28,BNL6.32,dth3,TO:0000137,Development,days to heading,DTHD,Chr. 3,1431898,1432095
CQAS31,BNL6.32,,TO:0000152,Yield,panicle number,PNNB,Chr. 3,32945649,35141057
CQAS27,BNL6.32,,TO:0000207,Vigor,plant height,PTHT,Chr. 3,9844999,30315075
CQAS34,BNL6.32,gpp3,TO:0000445,Yield,seed number,SDNB,Chr. 3,1431898,9845580
CQAS38,BNL6.32,gppl3,TO:0000445,Yield,seed number,SDNB,Chr. 3,1431898,9845580
CQAS35,BNL6.32,,TO:0000455,Yield,seed set percent,SDSPCENT,Chr. 3,1431898,1432095
CQAS32,BNL6.32,spp3,TO:0000456,Yield,spikelet number,SPKNB,Chr. 3,1431898,9845580
CQAS37,BNL6.32,sppl3,TO:0000456,Yield,spikelet number,SPKNB,Chr. 3,1431898,9845580
CQAS39,BNL6.32,,TO:0000396,Yield,yield,YLD,Chr. 3,1431898,1432095
CQAS30,BNL6.32,,TO:0000040,Anatomy,panicle length,PNLG,Chr. 3,1431898,1432095
CQAS36,BNL6.32,gw3,TO:0000382,Yield,1000-seed weight,TSDWT,Chr. 3,1431898,9845580
CQAS29,BNL6.32,,TO:0000469,Development,days to maturity,DTMT,Chr. 3,1431898,1432095
