"","Feature_Name","Feature_Type","Gene_name","SGD_ID","Reference","Experiment_type","Mutant_type","Allele","Strain","Phenotype","Chemical","Condition","Details","Reporter"
"127343","YOR323C","ORF","PRO2","S000005850","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","able to grow but to lower density; n-butanol sensitivity index (BSI) between 2 and 10"," "
"128844","YPL002C","ORF","SNF8","S000005923","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","hypersensitive; unable to grow in the presence of 1% n-butanol; butanol sensitivity index (BSI) > 10"," "
"128922","YPL005W","ORF","AEP3","S000005926","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","able to grow but to lower density; n-butanol sensitivity index (BSI) between 2 and 10"," "
"130405","YPL061W","ORF","ALD6","S000005982","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","hypersensitive; unable to grow in the presence of 1% n-butanol; butanol sensitivity index (BSI) > 10"," "
"130430","YPL062W","ORF","","S000005983","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","hypersensitive; unable to grow in the presence of 1% n-butanol; butanol sensitivity index (BSI) > 10"," "
"130978","YPL084W","ORF","BRO1","S000006005","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","hypersensitive; unable to grow in the presence of 1% n-butanol; butanol sensitivity index (BSI) > 10"," "
"132559","YPL144W","ORF","POC4","S000006065","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","able to grow but to lower density; n-butanol sensitivity index (BSI) between 2 and 10"," "
"135231","YPL254W","ORF","HFI1","S000006175","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","able to grow but to lower density; n-butanol sensitivity index (BSI) between 2 and 10"," "
"135419","YPL262W","ORF","FUM1","S000006183","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","able to grow but to lower density; n-butanol sensitivity index (BSI) between 2 and 10"," "
"135721","YPL271W","ORF","ATP15","S000006192","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","able to grow but to lower density; n-butanol sensitivity index (BSI) between 2 and 10"," "
"137752","YPR101W","ORF","SNT309","S000006305","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","hypersensitive; unable to grow in the presence of 1% n-butanol; butanol sensitivity index (BSI) > 10"," "
"138638","YPR135W","ORF","CTF4","S000006339","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","able to grow but to lower density; n-butanol sensitivity index (BSI) between 2 and 10"," "
"139105","YPR160W","ORF","GPH1","S000006364","PMID: 23552365|SGD_REF: S000153189","systematic mutation set","null"," ","S288C","resistance to chemicals: decreased","butan-1-ol (1%)"," ","hypersensitive; unable to grow in the presence of 1% n-butanol; butanol sensitivity index (BSI) > 10"," "
