DrugBankID;Drug;Disease;Palliative;InFDAlabel;RelativeEfficacyRE;GeneID1;GeneID2;GeneID3;GeneID4;GeneID5;GeneID6;GeneID7;GeneID8;GeneID9;GeneID10;GeneID11;GeneID12;GeneID13;GeneID14;GeneID15;GeneID16;GeneID17;GeneID18;GeneID19;GeneID20;GeneID21;GeneID22;GeneID23;GeneID24;GeneID25;IndicationfromDailyMed
DB00302;Tranexamic Acid;blood coagulation disorders;0;1;NA;5340; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Tranexamic Acid Tablets is an antifibrinolytic indicated for the treatment of cyclic heavy menstrual bleeding. (1)
DB00308;Ibutilide;arrhythmias cardiac;0;1;NA;775;786;3775;782;3767;90134;3757; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Ibutilide fumarate injection is indicated for the rapid conversion of atrial fibrillation or atrial flutter of recent onset to sinus rhythm. Patients with atrial arrhythmias of longer duration are less likely to respond to ibutilide fumarate. The effectiveness of ibutilide has not been determined in patients with arrhythmias of more than 90 days in duration. CHOICE OF PATIENTS Patients with chronic atrial fibrillation have a strong tendency to revert after conversion to sinus rhythm (see CLINICAL STUDIES) and treatments to maintain sinus rhythm carry risks. Patients to be treated with ibutilide fumarate, therefore, should be carefully selected such that the expected benefits of maintaining sinus rhythm outweigh the immediate risks of ibutilide fumarate, and the risks of maintenance therapy, and are likely to offer an advantage compared with alternative management.
DB00313;Valproic Acid;epilepsy;0;1;0,717949;18;36;9734; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;"""Depakote ER is indicated for: Acute treatment of manic or mixed episodes associated with bipolar disorder, with or without psychotic features (1.1) Acute treatment of manic or mixed episodes associated with bipolar disorder, with or without psychotic features (1.1) Monotherapy and adjunctive therapy of complex partial seizures and simple and complex absence seizures"
DB00317;Gefitinib;adenocarcinoma;0;1;0,752137;1956; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;IRESSA is a tyrosine kinase inhibitor indicated for the first-line treatment of patients with metastatic non-small cell lung cancer (NSCLC) whose tumors have epidermal growth factor receptor (EGFR) exon 19 deletions or exon 21 (L858R) substitution mutations as detected by an FDA-approved test. (1) Limitation of Use: Safety and efficacy of IRESSA have not been established in patients whose tumors have EGFR mutations other than exon 19 deletions or exon 21 (L858R) substitution mutations. (1)
DB00322;Floxuridine;adenocarcinoma;1;1;NA;7298; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Floxuridine for Injection, USP is effective in the palliative management of gastrointestinal adenocarcinoma metastatic to the liver, when given by continuous regional intra-arterial infusion in carefully selected patients who are considered incurable by surgery or other means. Patients with known disease extending beyond an area capable of infusion via a single artery should, except in unusual circumstances, be considered for systemic therapy with other chemotherapeutic agents.
DB00328;Indomethacin;arthritis;0;1;0,394737;5468;5742;5743;2739;5320; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Carefully consider the potential benefits and risks of Indomethacin Extended-Release Capsules USP and other treatment options before deciding to use Indomethacin Extended-Release Capsules USP. Use the lowest effective dose for the shortest duration consistent with individual patient treatment goals (see WARNINGS). Indomethacin Extended-Release Capsules USP have been found effective in active stages of the following: Moderate to severe rheumatoid arthritis including acute flares of chronic disease. Moderate to severe ankylosing spondylitis. Moderate to severe osteoarthritis. Acute painful shoulder (bursitis and/or tendinitis). Indomethacin Extended-Release Capsules USP are not recommended for the treatment of acute gouty arthritis. Indomethacin Extended-Release Capsules USP may enable the reduction of steroid dosage in patients receiving steroids for the more severe forms of rheumatoid arthritis. In such instances the steroid dosage should be reduced slowly and the patients followed very closely for any possible adverse effects. The use of indomethacin in conjunction with aspirin or other salicylates is not recommended. Controlled clinical studies have shown that the combined use of indomethacin and aspirin does not produce any greater therapeutic effect than the use of indomethacin alone. Furthermore, in one of these clinical studies, the incidence of gastrointestinal side effects was significantly increased with combined therapy. (See PRECAUTIONS - Drug Interactions).
DB00331;Metformin;diabetes mellitus;0;1;0,746879;5564; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Metformin hydrochloride tablets is indicated as an adjunct to diet and exercise to improve glycemic control in adults and children with type 2 diabetes mellitus.
DB00337;Pimecrolimus;skin diseases;0;1;NA;2280;2475; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;ELIDEL  (pimecrolimus) Cream 1% is indicated as second-line therapy for the short-term and non-continuous chronic treatment of mild to moderate atopic dermatitis in non-immunocompromised adults and children 2 years of age and older, who have failed to respond adequately to other topical prescription treatments, or when those treatments are not advisable. ELIDEL Cream is not indicated for use in children less than 2 years of age (see WARNINGS, boxed WARNING, and PRECAUTIONS, Pediatric Use).
DB00343;Diltiazem;arrhythmias cardiac;0;0;0,740741;786; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Diltiazem hydrochloride tablets are indicated for the management of chronic stable angina and angina due to coronary artery spasm.
DB00351;Megestrol;breast neoplasms;0;0;0,904762;2908;5241; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Megestrol acetate oral suspension is indicated for the treatment of anorexia, cachexia, or an unexplained, significant weight loss in patients with a diagnosis of acquired immunodeficiency syndrome (AIDS).
DB00357;Aminoglutethimide;breast neoplasms;0;0;NA;1583;1588; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
DB00361;Vinorelbine;breast neoplasms;0;0;0,847826;203068; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Vinorelbine Injection, USP is a vinca alkaloid indicated: In combination with cisplatin for first-line treatment of patients with locally advanced or metastatic non-small cell lung cancer (NSCLC) (1) As a single agent, for first line treatment of patients with metastatic NSCLC (1)
DB00376;Trihexyphenidyl;parkinson disease;0;1;NA;1133;1129;1128;1131;1132; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Trihexyphenidyl HCl tablets are indicated as an adjunct in the treatment of all forms of parkinsonism (postencephalitic, arteriosclerotic, and idiopathic). It is often useful as adjuvant therapy when treating these forms of parkinsonism with levodopa. Additionally, it is indicated for the control of extrapyramidal disorders caused by central nervous system drugs such as the dibenzoxazepines, phenothiazines, thioxanthenes, and butyrophenones.
DB00379;Mexiletine;arrhythmias cardiac;0;1;NA;196;6331; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Mexiletine hydrochloride capsules are indicated for the treatment of documented ventricular arrhythmias, such as sustained ventricular tachycardia, that, in the judgment of the physician, are life-threatening. Because of the proarrhythmic effects of mexiletine, its use with lesser arrhythmias is generally not recommended. Treatment of patients with asymptomatic ventricular premature contractions should be avoided. Initiation of mexiletine treatment, as with other antiarrhythmic agents used to treat life-threatening arrhythmias, should be carried out in the hospital. Antiarrhythmic drugs have not been shown to enhance survival in patients with ventricular arrhythmias.
DB00380;Dexrazoxane;breast neoplasms;0;0;NA;7155;7153; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Dexrazoxane for injection is a cytoprotective agent indicated for reducing the incidence and severity of cardiomyopathy associated with doxorubicin administration in women with metastatic breast cancer who have received a cumulative doxorubicin dose of 300 mg/m2 and who will continue to receive doxorubicin therapy to maintain tumor control. Do not use dexrazoxane for injection with doxorubicin initiation. (1)
DB00387;Procyclidine;parkinson disease;0;0;NA;1128;1129;1131;1132; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
DB00390;Digoxin;arrhythmias cardiac;0;1;0,928571;476; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;LANOXIN is indicated for the treatment of mild to moderate heart failure. LANOXIN increases left ventricular ejection fraction and improves heart failure symptoms as evidenced by exercise capacity and heart failure-related hospitalizations and emergency care, while having no effect on mortality. Where possible, LANOXIN should be used with a diuretic and an angiotensin-converting enzyme inhibitor, but an optimal order for starting these 3 drugs cannot be specified. LANOXIN is indicated for the control of ventricular response rate in patients with chronic atrial fibrillation.
DB00396;Progesterone;endocrine system diseases;0;1;NA;2099;5241;4306;1586; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Progesterone Capsules are indicated for use in the prevention of endometrial hyperplasia in nonhysterectomized postmenopausal women who are receiving conjugated estrogens tablets. They are also indicated for use in secondary amenorrhea.
DB00399;Zoledronate;bone diseases;0;1;NA;2224;9453; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Zoledronic acid injection is a bisphosphonate indicated for: Treatment of Pagets disease of bone in men and women (1.5)
DB00412;Rosiglitazone;diabetes mellitus;0;1;0,974061;2182;5468; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;AVANDIA is a thiazolidinedione antidiabetic agent indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus. (1) (1) Important Limitations of Use: (1) AVANDIA should not be used in patients with type 1 diabetes mellitus or for the treatment of diabetic ketoacidosis. (1.2) Coadministration of AVANDIA and insulin is not recommended. (1.2, 5.3) Use of AVANDIA with nitrates is not recommended. (1.2, 5.2)
DB00421;Spironolactone;liver cirrhosis;0;1;0,615385;367;4306; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;"""Spironolactone is indicated in the management of: Establishing the diagnosis of primary hyperaldosteronism by therapeutic trial. Short-term preoperative treatment of patients with primary hyperaldosteronism. Long-term maintenance therapy for patients with discrete aldosterone-producing adrenal adenomas who are judged to be poor operative risks or who decline surgery. Long-term maintenance therapy for patients with bilateral micro- or macronodular adrenal hyperplasia (idiopathic hyperaldosteronism). Congestive heart failure: For the management of edema and sodium retention when the patient is only partially responsive to, or is intolerant of, other therapeutic measures. Spironolactone is also indicated for patients with congestive heart failure taking digitalis when other therapies are considered inappropriate. Cirrhosis of the liver accompanied by edema and/or ascites: Aldosterone levels may be exceptionally high in this condition. Spironolactone is indicated for maintenance therapy together with bed rest and the restriction of fluid and sodium. Nephrotic syndrome: For nephrotic patients when treatment of the underlying disease, restriction of fluid and sodium intake, and the use of other diuretics do not provide an adequate response. Spironolactone is indicated for the treatment of hypertension, to lower blood pressure. Lowering blood pressure reduces the risk of fatal and nonfatal cardiovascular events, primarily strokes and myocardial infarctions. These benefits have been seen in controlled trials of antihypertensive drugs from a wide variety of pharmacologic classes. Control of high blood pressure should be part of comprehensive cardiovascular risk management, including, as appropriate, lipid control, diabetes management, antithrombotic therapy, smoking cessation, exercise, and limited sodium intake. Many patients will require more than one drug to achieve blood pressure goals. For specific advice on goals and management, see published guidelines, such as those of the National High Blood Pressure Education Programs Joint National Committee on Prevention, Detection, Evaluation, and Treatment of High Blood Pressure (JNC). Numerous antihypertensive drugs, from a variety of pharmacologic classes and with different mechanisms of action, have been shown in randomized controlled trials to reduce cardiovascular morbidity and mortality, and it can be concluded that it is blood pressure reduction, and not some other pharmacologic property of the drugs, that is largely responsible for those benefits. The largest and most consistent cardiovascular outcome benefit has been a reduction in the risk of stroke, but reductions in myocardial infarction and cardiovascular mortality also have been seen regularly. Elevated systolic or diastolic pressure causes increased cardiovascular risk, and the absolute risk increase per mmHg is greater at higher blood pressures, so that even modest reductions of severe hypertension can provide substantial benefit. Relative risk reduction from blood pressure reduction is similar across populations with varying absolute risk, so the absolute benefit is greater in patients who are at higher risk independent of their hypertension (for example, patients with diabetes or hyperlipidemia), and such patients would be expected to benefit from more aggressive treatment to a lower blood pressure goal. Some antihypertensive drugs have smaller blood pressure effects (as monotherapy) in black patients, and many antihypertensive drugs have additional approved indicatio"
DB00434;Cyproheptadine;hypersensitivity;0;1;NA;1128;1129;1131;3356;3269;3358; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Perennial and seasonal allergic rhinitis Vasomotor rhinitis Allergic conjunctivitis due to inhalant allergens and foods Mild, uncomplicated allergic skin manifestations of urticaria and angioedema. Amelioration of allergic reactions to blood or plasma Cold urticaria Dermatographism As therapy for anaphylactic reactions adjunctive to epinephrine and other standard measures after the acute manifestations have been controlled.
DB00437;Allopurinol;kidney diseases;1;1;NA;7498; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;THIS IS NOT AN INNOCUOUS DRUG. IT IS NOT RECOMMENDED FOR THE TREATMENT OF ASYMPTOMATIC HYPERURICEMIA. Allopurinol reduces serum and urinary uric acid concentrations. Its use should be individualized for each patient and requires an understanding of its mode of action and pharmacokinetics (see CLINICAL PHARMACOLOGY, CONTRAINDICATIONS, WARNINGS, and PRECAUTIONS). Allopurinol is indicated in: 1)the management of patients with signs and symptoms of primary or secondary gout (acute attacks, tophi, joint destruction, uric acid lithiasis, and/or nephropathy). 2)the management of patients with leukemia, lymphoma and malignancies who are receiving cancer therapy which causes elevations of serum and urinary uric acid levels. Treatment with allopurinol should be discontinued when the potential for over production of uric acid is no longer present. 3)the management of patients with recurrent calcium oxalate calculi whose daily uric acid excretion exceeds 800 mg/day in male patients and 750 mg/day in female patients. Therapy in such patients should be carefully assessed initially and reassessed periodically to determine in each case that treatment is beneficial and that the benefits outweigh the risks.
DB00444;Teniposide;leukemia lymphoid;0;1;NA;7153; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Teniposide Injection, in combination with other approved anticancer agents, is indicated for induction therapy in patients with refractory childhood acute lymphoblastic leukemia.
DB00445;Epirubicin;breast neoplasms;0;1;0,900452;1105;7153; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Epirubicin Hydrochloride Injection is an anthracycline topoisomerase II inhibitor indicated as a component of adjuvant therapy in patients with evidence of axillary node tumor involvement following resection of primary breast cancer (1.1).
DB00459;Acitretin;psoriasis;0;1;0,316667;5947;6258;5915;5914;5916;6257;6256; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;SORIATANE is indicated for the treatment of severe psoriasis in adults. Because of significant adverse effects associated with its use, SORIATANE should be prescribed only by those knowledgeable in the systemic use of retinoids. In females of reproductive potential, SORIATANE should be reserved for non-pregnant patients who are unresponsive to other therapies or whose clinical condition contraindicates the use of other treatments (see boxed CONTRAINDICATIONS AND WARNINGS  SORIATANE can cause severe birth defects). Most patients experience relapse of psoriasis after discontinuing therapy. Subsequent courses, when clinically indicated, have produced efficacy results similar to the initial course of therapy.
DB00464;Sodium Tetradecyl Sulf;varicose veins;0;1;NA;5627;5624; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Sotradecol (sodium tetradecyl sulfate injection) is indicated in the treatment of small uncomplicated varicose veins of the lower extremities that show simple dilation with competent valves. The benefit-to-risk ratio should be considered in selected patients who are great surgical risks.
DB00471;Montelukast;asthma;0;1;0,384548;10800;240; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Montelukast sodium is a leukotriene receptor antagonist indicated for: Prophylaxis and chronic treatment of asthma in patients 2 years of age and older ( 1.1). Acute prevention of exercise-induced bronchoconstriction (EIB) in patients 6 years of age and older ( 1.2). Relief of symptoms of allergic rhinitis (AR): seasonal allergic rhinitis (SAR) in patients 2 years of age and older, and perennial allergic rhinitis (PAR) in patients 2 years of age and older ( 1.3).
DB00482;Celecoxib;arthritis;0;1;0,600197;5170;5743; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Celecoxib is a nonsteroidal anti-inflammatory drug indicated for: Osteoarthritis (OA) (1.1) Rheumatoid Arthritis (RA) (1.2) Juvenile Rheumatoid Arthritis (JRA) in patients 2 years and older (1.3) Ankylosing Spondylitis (AS) (1.4) Acute Pain (AP) (1.5) Primary Dysmenorrhea (PD) (1.6)
DB00489;Sotalol;arrhythmias cardiac;0;1;0,833333;153;154;3757; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;"""Sotalol hydrochloride tablets, USP are indicated for the treatment of documented ventricular arrhythmias, such as sustained ventricular tachycardia, that in the judgment of the physician are life-threatening. Because of the proarrhythmic effects of sotalol hydrochloride tablets, USP (see WARNINGS), including a 1.5 to 2% rate of Torsade de Pointes or new VT/VF in patients with either NSVT or supraventricular arrhythmias, its use in patients with less severe arrhythmias, even if the patients are symptomatic, is generally not recommended. Treatment of patients with asymptomatic ventricular premature contractions should be avoided. Initiation of sotalol hydrochloride treatment or increasing doses, as with other antiarrhythmic agents used to treat life-threatening arrhythmias, should be carried out in the hospital. The response to treatment should then be evaluated by a suitable method (e.g., PES or Holter monitoring) prior to continuing the patient on chronic therapy. Various approaches have been used to determine the response to antiarrhythmic therapy, including sotalol hydrochloride tablets, USP. In the ESVEM Trial, response by Holter monitoring was tentatively defined as 100% suppression of ventricular tachycardia, 90% suppression of non-sustained VT, 80% suppression of paired VPCs, and 75% suppression of total VPCs in patients who had at least 10 VPCs/hour at baseline"
DB00491;Miglitol;diabetes mellitus;0;1;0,978261;2595;8972;2548;23193; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;GLYSET is indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus.
DB00494;Entacapone;parkinson disease;0;1;0,454545;1312; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Entacapone Tablets are indicated as an adjunct to levodopa and carbidopa to treat patients with idiopathic Parkinsons Disease who experience the signs and symptoms of end-of-dose wearing-off (see CLINICAL PHARMACOLOGY, Clinical Studies). Entacapone Tablets effectiveness has not been systematically evaluated in patients with idiopathic Parkinsons Disease who do not experience end-of-dose wearing-off.
DB00499;Flutamide;prostatic neoplasms;0;1;0,979592;367;196; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Flutamide Capsules are indicated for use in combination with LHRH-agonists for the management of locally confined Stage B2-C and Stage D2 metastatic carcinoma of the prostate. Stage B2-C Prostatic Carcinoma Treatment with Flutamide Capsules and the goserelin acetate implant should start 8 weeks prior to initiating radiation therapy and continue during radiation therapy. Stage D2 Metastatic Carcinoma To achieve benefit from treatment, Flutamide Capsules should be initiated with the LHRH- agonist and continued until progression.
DB00522;Bentiromide;pancreatic diseases;0;0;NA;3249; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
DB00523;Alitretinoin;skin diseases;0;1;NA;6258;5915;5914;5916;6257;6256; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Panretin gel is indicated for topical treatment of cutaneous lesions in patients with AIDS-related Kaposi's sarcoma. Panretin gel is not indicated when systemic anti-KS therapy is required (e.g., more than 10 new KS lesions in the prior month, symptomatic lymphedema, symptomatic pulmonary KS, or symptomatic visceral involvement). There is no experience to date using Panretin gel with systemic anti-KS treatment.
DB00530;Erlotinib;adenocarcinoma;0;1;0,867925;1956;8856; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;TARCEVA is a kinase inhibitor indicated for: First-line treatment of patients with metastatic non-small cell lung cancer (NSCLC) whose tumors have epidermal growth factor receptor (EGFR) exon 19 deletions or exon 21 (L858R) substitution mutations as detected by an FDA-approved test. ( 1.1) Maintenance treatment of patients with locally advanced or metastatic NSCLC whose disease has not progressed after four cycles of platinum-based first-line chemotherapy. ( 1.1) Treatment of locally advanced or metastatic NSCLC after failure of at least one prior chemotherapy regimen. ( 1.1) First-line treatment of patients with locally advanced, unresectable or metastatic pancreatic cancer, in combination with gemcitabine. ( 1.2) Limitations of Use: TARCEVA is not recommended for use in combination with platinum-based chemotherapy. Safety and efficacy of TARCEVA have not been evaluated as first-line treatment in patients with metastatic NSCLC whose tumors have EGFR mutations other than exon 19 deletions or exon 21 (L858R) substitution.
DB00537;Ciprofloxacin;joint diseases;0;1;NA;7153; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;"""Ciprofloxacin tablets are indicated for the treatment of infections caused by susceptible isolates of the designated microorganisms in the conditions and patient populations listed below. Please see DOSAGE AND ADMINISTRATION for specific recommendations. Urinary Tract Infections caused by Escherichia coli, Klebsiella pneumoniae, Enterobacter cloacae, Serratia marcescens, Proteus mirabilis, Providencia rettgeri, Morganella morganii, Citrobacter koseri (diversus), Citrobacter freundii, Pseudomonas aeruginosa, methicillin-susceptible Staphylococcus epidermidis, Staphylococcus saprophyticus, or vancomycin-susceptible Enterococcus faecalis. Acute Uncomplicated Cystitis in Females caused by Escherichia coli or Staphylococcus saprophyticus. Chronic Bacterial Prostatitis caused by Escherichia coli or Proteus mirabilis. Lower Respiratory Tract Infections caused by Escherichia coli, Klebsiella pneumoniae, Enterobacter cloacae, Proteus mirabilis, Pseudomonas aeruginosa, Haemophilus influenzae, Haemophilus parainfluenzae, or penicillin-susceptible Streptococcus pneumoniae. * Also, Moraxella catarrhalis for the treatment of acute exacerbations of chronic bronchitis. *Ciprofloxacin is not a drug of first choice in the treatment of presumed or confirmed pneumonia secondary to Streptococcus pneumoniae. Acute Sinusitis caused by Haemophilus influenzae, penicillin-susceptible Streptococcus pneumoniae, or Moraxella catarrhalis. Skin and Skin Structure Infections caused by Escherichia coli, Klebsiella pneumoniae, Enterobacter cloacae, Proteus mirabilis, Proteus vulgaris, Providencia stuartii, Morganella morganii, Citrobacter freundii, Pseudomonas aeruginosa, methicillin-susceptible, Staphylococcus aureus, methicillin-susceptible Staphylococcus epidermidis, or Streptococcus pyogenes. Bone and Joint Infections caused by Enterobacter cloacae, Serratia marcescens, or Pseudomonas aeruginosa. Complicated Intra-Abdominal Infections (used in combination with metronidazole) caused by Escherichia coli, Pseudomonas aeruginosa, Proteus mirabilis, Klebsiella pneumoniae, or Bacteroides fragilis. Infectious Diarrhea caused by Escherichia coli (enterotoxigenic isolates), Campylobacter jejuni, Shigella boydii *, Shigella dysenteriae, Shigella flexneri or Shigella sonnei* when antibacterial therapy is indicated. * Although treatment of infections due to this organism in this organ system demonstrated a clinically significant outcome, efficacy was studied in fewer than 10 patients. Typhoid Fever (Enteric Fever) caused by Salmonella typhi. NOTE: The efficacy of ciprofloxacin in the eradication of the chronic typhoid carrier state has not been demonstrated. Uncomplicated Cervical and Urethral Gonorrhea due to Neisseria gonorrhoeae. Complicated Urinary Tract Infections and Pyelonephritis due to Escherichia coli. NOTE: Although effective in clinical trials, ciprofloxacin is not a drug of first choice in the pediatric population due to an increased incidence of adverse events compared to controls, including events related to joints and/or surrounding tissues. (SeeWARNINGS, PRECAUTIONS, Pediatric Use, ADVERSE REACTIONS and CLINICAL STUDIES.) Ciprofloxacin, like other fluoroquinolones, is associated with arthropathy and histopathological changes in weight-bearing joints of juvenile animals. (SeeANIMAL PHARMACOLOGY.) Inhalational Anthrax (post-exposure): To reduce the incidence or progression of disease following exposure to aerosolized Bacillus anthracis. Ciprofloxacin serum concentrations achieved in humans served as"
DB00541;Vincristine;leukemia;0;1;NA;203068;7277; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Vincristine sulfate injection is indicated in acute leukemia. Vincristine sulfate injection has also been shown to be useful in combination with other oncolytic agents in Hodgkins disease, nonHodgkins malignant lymphomas, rhabdomyosarcoma, neuroblastoma, and Wilms tumor.
DB00549;Zafirlukast;asthma;0;1;0,263158;10800; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Zafirlukast tablets are indicated for the prophylaxis and chronic treatment of asthma in adults and children 5 years of age and older.
DB00555;Lamotrigine;epilepsy;0;1;0,679549;6326; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Lamotrigine tablets USP are indicated for: Epilepsy adjunctive therapy in patients aged 2 years and older: Partial-onset seizures. primary generalized tonic-clonic seizures. generalized seizures of Lennox-Gastaut syndrome. ( 1.1) Epilepsymonotherapy in patients aged 16 years and older: Conversion to monotherapy in patients with partial-onset seizures who are receiving treatment with carbamazepine, phenytoin, phenobarbital, primidone, or valproate as the single AED. (1.1) Bipolar disorder in patients aged 18 years and older: Maintenance treatment of bipolar I disorder to delay the time to occurrence of mood episodes in patients treated for acute mood episodes with standard therapy. (1.2)
DB00563;Methotrexate;arthritis rheumatoid;0;1;0,479912;1719; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Neoplastic Diseases Methotrexate is indicated in the treatment of gestational choriocarcinoma, chorio-adenoma destruens and hydatidiform mole. Methotrexate is used in maintenance therapy in combination with other chemotherapeutic agents. Methotrexate is used alone or in combination with other anticancer agents in the treatment of breast cancer, epidermoid cancers of the head and neck, advanced mycosis fungoides (cutaneous T cell lymphoma), and lung cancer, particularly squamous cell and small cell types. Methotrexate is also used in combination with other chemotherapeutic agents in the treatment of advanced stage non-Hodgkins lymphomas. Psoriasis Methotrexate is indicated in the symptomatic control of severe, recalcitrant, disabling psoriasis that is not adequately responsive to other forms of therapy, but only when the diagnosis has been established, as by biopsy and/or after dermatologic consultation. It is important to ensure that a psoriasis flare is not due to an undiagnosed concomitant disease affecting immune responses. Rheumatoid Arthritis including Polyarticular-Course Juvenile Rheumatoid Arthritis Methotrexate is indicated in the management of selected adults with severe, active, rheumatoid arthritis (ACR criteria), or children with active polyarticular-course juvenile rheumatoid arthritis, who have had an insufficient therapeutic response to, or are intolerant of, an adequate trial of first-line therapy including full dose non-steroidal anti-inflammatory agents (NSAIDs). Aspirin, NSAIDs, and/or low dose steroids may be continued, although the possibility of increased toxicity with concomitant use of NSAIDs including salicylates has not been fully explored. (See PRECAUTIONS, Drug Interactions.) Steroids may be reduced gradually in patients who respond to methotrexate. Combined use of methotrexate with gold, penicillamine, hydroxychloroquine, sulfasalazine, or cytotoxic agents, has not been studied and may increase the incidence of adverse effects. Rest and physiotherapy as indicated should be continued.
DB00564;Carbamazepine;epilepsy;0;1;0,773585;6331; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Carbamazepine Tablets USP and Carbamazepine Tablets USP (chewable) are indicated for use as an anticonvulsant drug. Evidence supporting efficacy of Carbamazepine Tablets USP and Carbamazepine Tablets USP (chewable) as an anticonvulsant was derived from active drug-controlled studies that enrolled patients with the following seizure types: 1. Partial seizures with complex symptomatology (psychomotor, temporal lobe). Patients with these seizures appear to show greater improvement than those with other types. 2. Generalized tonic-clonic seizures (grand mal). 3. Mixed seizure patterns which include the above, or other partial or generalized seizures. Absence seizures (petit mal) do not appear to be controlled by Carbamazepine Tablets USP and Carbamazepine Tablets USP (chewable) (see PRECAUTIONS, General). Carbamazepine Tablets USP and Carbamazepine Tablets USP (chewable) are indicated in the treatment of the pain associated with true trigeminal neuralgia. Beneficial results have also been reported in glossopharyngeal neuralgia. This drug is not a simple analgesic and should not be used for the relief of trivial aches or pains.
